Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeOtherNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeOtherNumberForState,cumulativeTestedNumberForState
2022-02-03,GJ,Ahmedabad,2022-02-03 23:55:31.435569,,,371286,3544,0,344264,6316323,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Amreli,2022-02-03 23:55:31.435569,,,12718,105,0,12376,727372,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Anand,2022-02-03 23:55:31.435569,,,14780,53,0,13860,707973,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Aravalli,2022-02-03 23:55:31.435569,,,5513,79,0,5353,454324,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Banaskantha,2022-02-03 23:55:31.435569,,,17020,164,0,15936,1099626,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Bharuch,2022-02-03 23:55:31.435569,,,16877,132,0,16034,641169,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Bhavnagar,2022-02-03 23:55:31.435569,,,28791,338,0,27621,1420421,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Botad,2022-02-03 23:55:31.435569,,,2345,47,0,2269,304796,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Chhota Udaipur,2022-02-03 23:55:31.435569,,,3635,38,0,3501,340659,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Dahod,2022-02-03 23:55:31.435569,,,11061,39,0,10791,898860,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Dang,2022-02-03 23:55:31.435569,,,1059,18,0,959,102777,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Devbhumi Dwarka,2022-02-03 23:55:31.435569,,,5042,86,0,4857,311983,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Gandhinagar,2022-02-03 23:55:31.435569,,,33062,214,0,29810,1023173,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Gir Somnath,2022-02-03 23:55:31.435569,,,9634,67,0,9379,464947,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Jamnagar,2022-02-03 23:55:31.435569,,,41447,504,0,39889,1060182,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Junagadh,2022-02-03 23:55:31.435569,,,22643,272,0,22246,1113180,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Kutch,2022-02-03 23:55:31.435569,,,18192,146,0,16856,1040415,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Kheda,2022-02-03 23:55:31.435569,,,13849,54,0,13297,777182,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Mahisagar,2022-02-03 23:55:31.435569,,,8763,73,0,8584,476038,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Mehsana,2022-02-03 23:55:31.435569,,,29787,185,0,28189,914473,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Morbi,2022-02-03 23:55:31.435569,,,10393,89,0,9613,483674,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Narmada,2022-02-03 23:55:31.435569,,,6562,15,0,6440,314603,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Navsari,2022-02-03 23:55:31.435569,,,11573,38,0,11043,570088,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Panchmahal,2022-02-03 23:55:31.435569,,,13204,78,0,12683,722107,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Patan,2022-02-03 23:55:31.435569,,,15725,129,0,14067,593209,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Porbandar,2022-02-03 23:55:31.435569,,,4151,23,0,4069,304463,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Rajkot,2022-02-03 23:55:31.435569,,,82632,773,0,76676,2413600,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Sabarkantha,2022-02-03 23:55:31.435569,,,11326,159,0,10699,617603,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Surat,2022-02-03 23:55:31.435569,,,202547,2043,0,196460,7677806,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Surendranagar,2022-02-03 23:55:31.435569,,,9958,137,0,9438,655586,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Tapi,2022-02-03 23:55:31.435569,,,5417,26,0,5077,321345,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Vadodara,2022-02-03 23:55:31.435569,,,131761,826,0,117041,2457669,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
2022-02-03,GJ,Valsad,2022-02-03 23:55:31.435569,,,12622,82,0,11858,721050,2022-02-03 23:55:31.434572,2022-02-03 23:55:31.436015,,,1185375,10576,1111235,0,38048676
