,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-02-03,MZ,Aizawl,,,,,,,,2022-02-04 12:32:52.156564,,,,181696,617,165447,
1,2022-02-03,MZ,Champhai,,,,,,,,2022-02-04 12:32:52.156564,,,,181696,617,165447,
2,2022-02-03,MZ,Hnahthial,,,,,,,,2022-02-04 12:32:52.156564,,,,181696,617,165447,
3,2022-02-03,MZ,Khawzawl,,,,,,,,2022-02-04 12:32:52.156564,,,,181696,617,165447,
4,2022-02-03,MZ,Kolasib,,,,,,,,2022-02-04 12:32:52.156564,,,,181696,617,165447,
5,2022-02-03,MZ,Lawngtlai,,,,,,,,2022-02-04 12:32:52.156564,,,,181696,617,165447,
6,2022-02-03,MZ,Lunglei,,,,,,,,2022-02-04 12:32:52.156564,,,,181696,617,165447,
7,2022-02-03,MZ,Mamit,,,,,,,,2022-02-04 12:32:52.156564,,,,181696,617,165447,
8,2022-02-03,MZ,Saiha,,,,,,,,2022-02-04 12:32:52.156564,,,,181696,617,165447,
9,2022-02-03,MZ,Saitual,,,,,,,,2022-02-04 12:32:52.156564,,,,181696,617,165447,
10,2022-02-03,MZ,Serchhip,,,,,,,,2022-02-04 12:32:52.156564,,,,181696,617,165447,
11,2022-02-03,MZ,Unknown,,,,181696,617,165447,,2022-02-04 12:32:52.156564,,,,181696,617,165447,
