,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-02-04,AP,Foreign Evacuees,,,,,,,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
1,2022-02-04,AP,Anantapur,,,,176235,1098,167193,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
2,2022-02-04,AP,Chittoor,,,,270972,1977,266537,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
3,2022-02-04,AP,East Godavari,,,,312144,1296,301272,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
4,2022-02-04,AP,Guntur,,,,200698,1270,187631,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
5,2022-02-04,AP,Krishna,,,,133901,1483,121664,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
6,2022-02-04,AP,Kurnool,,,,143384,863,137105,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
7,2022-02-04,AP,Other State,,,,,,,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
8,2022-02-04,AP,Prakasam,,,,154512,1140,139363,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
9,2022-02-04,AP,S.P.S. Nellore,,,,163416,1081,153526,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
10,2022-02-04,AP,Srikakulam,,,,133703,798,130619,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
11,2022-02-04,AP,Visakhapatnam,,,,189233,1179,184447,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
12,2022-02-04,AP,Vizianagaram,,,,91827,677,90000,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
13,2022-02-04,AP,West Godavari,,,,190600,1132,185036,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
14,2022-02-04,AP,Y.S.R. Kadapa,,,,133849,652,127071,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
15,2022-02-04,AP,Unknown,,,,0,0,0,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
16,2022-02-04,AP,Other States,,,,2461,0,2461,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
17,2022-02-04,AP,Other Countries,,,,434,0,434,,2022-02-05 11:55:26.572164,,,,2297369,14646,2194359,32602251
