,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-02-04,AR,Anjaw,,,,1109,3,1087,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
1,2022-02-04,AR,Changlang,,,,4224,22,4157,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
2,2022-02-04,AR,Upper Dibang Valley,,,,379,2,368,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
3,2022-02-04,AR,East Kameng,,,,1210,0,1180,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
4,2022-02-04,AR,East Siang,,,,3610,18,3475,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
5,2022-02-04,AR,Kamle,,,,573,0,532,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
6,2022-02-04,AR,Kra Daadi,,,,270,0,270,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
7,2022-02-04,AR,Kurung Kumey,,,,526,1,514,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
8,2022-02-04,AR,Lepa Rada,,,,1010,3,952,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
9,2022-02-04,AR,Lohit,,,,3328,29,3221,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
10,2022-02-04,AR,Longding,,,,875,2,829,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
11,2022-02-04,AR,Lower Dibang Valley,,,,2808,12,2736,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
12,2022-02-04,AR,Lower Siang,,,,826,8,809,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
13,2022-02-04,AR,Lower Subansiri,,,,3482,15,3221,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
14,2022-02-04,AR,Namsai,,,,2631,17,2532,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
15,2022-02-04,AR,Pakke Kessang,,,,495,0,481,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
16,2022-02-04,AR,Papum Pare,,,,21790,101,20911,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
17,2022-02-04,AR,Shi Yomi,,,,304,0,302,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
18,2022-02-04,AR,Siang,,,,437,3,424,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
19,2022-02-04,AR,Tawang,,,,2840,21,2720,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
20,2022-02-04,AR,Tirap,,,,1248,5,1225,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
21,2022-02-04,AR,Upper Siang,,,,1126,1,1081,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
22,2022-02-04,AR,Upper Subansiri,,,,2011,7,1983,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
23,2022-02-04,AR,West Kameng,,,,4180,15,4038,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
24,2022-02-04,AR,West Siang,,,,2023,6,1991,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
25,2022-02-04,AR,Unknown,,,,0,0,0,,2022-02-05 11:55:26.572164,,,,63315,291,61039,1234641
