,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,Tested
0,2022-02-05,DL,Central Delhi,,,,,,,,2022-02-06 12:39:53.871454,,,,1842523,25969,1806575,,35196130
1,2022-02-05,DL,East Delhi,,,,,,,,2022-02-06 12:39:53.871454,,,,1842523,25969,1806575,,35196130
2,2022-02-05,DL,New Delhi,,,,,,,,2022-02-06 12:39:53.871454,,,,1842523,25969,1806575,,35196130
3,2022-02-05,DL,North Delhi,,,,,,,,2022-02-06 12:39:53.871454,,,,1842523,25969,1806575,,35196130
4,2022-02-05,DL,North East Delhi,,,,,,,,2022-02-06 12:39:53.871454,,,,1842523,25969,1806575,,35196130
5,2022-02-05,DL,North West Delhi,,,,,,,,2022-02-06 12:39:53.871454,,,,1842523,25969,1806575,,35196130
6,2022-02-05,DL,Shahdara,,,,,,,,2022-02-06 12:39:53.871454,,,,1842523,25969,1806575,,35196130
7,2022-02-05,DL,South Delhi,,,,,,,,2022-02-06 12:39:53.871454,,,,1842523,25969,1806575,,35196130
8,2022-02-05,DL,South East Delhi,,,,,,,,2022-02-06 12:39:53.871454,,,,1842523,25969,1806575,,35196130
9,2022-02-05,DL,South West Delhi,,,,,,,,2022-02-06 12:39:53.871454,,,,1842523,25969,1806575,,35196130
10,2022-02-05,DL,West Delhi,,,,,,,,2022-02-06 12:39:53.871454,,,,1842523,25969,1806575,,35196130
11,2022-02-05,DL,Unknown,,,,1842523,25969,1806575,,2022-02-06 12:39:53.871454,,,,1842523,25969,1806575,,35196130
