,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-02-09,NL,Dimapur,,,1065 cases were recorded as Non Covid Deaths with Covid19 Positivity,17050,466,15124,,2022-02-09T23:55:58.078230+05:30,,,1467 cases were recorded as Non Covid Deaths with Covid19 Positivity,35038,745,32245,449354,1065,1467
1,2022-02-09,NL,Kiphire,,,1 cases were recorded as Non Covid Deaths with Covid19 Positivity,271,9,261,,2022-02-09T23:55:58.078230+05:30,,,1467 cases were recorded as Non Covid Deaths with Covid19 Positivity,35038,745,32245,449354,1,1467
2,2022-02-09,NL,Kohima,,,230 cases were recorded as Non Covid Deaths with Covid19 Positivity,9925,130,9431,,2022-02-09T23:55:58.078230+05:30,,,1467 cases were recorded as Non Covid Deaths with Covid19 Positivity,35038,745,32245,449354,230,1467
3,2022-02-09,NL,Longleng,,,18 cases were recorded as Non Covid Deaths with Covid19 Positivity,312,2,287,,2022-02-09T23:55:58.078230+05:30,,,1467 cases were recorded as Non Covid Deaths with Covid19 Positivity,35038,745,32245,449354,18,1467
4,2022-02-09,NL,Mokokchung,,,71 cases were recorded as Non Covid Deaths with Covid19 Positivity,2460,58,2315,,2022-02-09T23:55:58.078230+05:30,,,1467 cases were recorded as Non Covid Deaths with Covid19 Positivity,35038,745,32245,449354,71,1467
5,2022-02-09,NL,Mon,,,21 cases were recorded as Non Covid Deaths with Covid19 Positivity,1173,14,1136,,2022-02-09T23:55:58.078230+05:30,,,1467 cases were recorded as Non Covid Deaths with Covid19 Positivity,35038,745,32245,449354,21,1467
6,2022-02-09,NL,Peren,,,19 cases were recorded as Non Covid Deaths with Covid19 Positivity,977,6,941,,2022-02-09T23:55:58.078230+05:30,,,1467 cases were recorded as Non Covid Deaths with Covid19 Positivity,35038,745,32245,449354,19,1467
7,2022-02-09,NL,Phek,,,9 cases were recorded as Non Covid Deaths with Covid19 Positivity,619,19,590,,2022-02-09T23:55:58.078230+05:30,,,1467 cases were recorded as Non Covid Deaths with Covid19 Positivity,35038,745,32245,449354,9,1467
8,2022-02-09,NL,Tuensang,,,3 cases were recorded as Non Covid Deaths with Covid19 Positivity,1177,14,1156,,2022-02-09T23:55:58.078230+05:30,,,1467 cases were recorded as Non Covid Deaths with Covid19 Positivity,35038,745,32245,449354,3,1467
9,2022-02-09,NL,Wokha,,,18 cases were recorded as Non Covid Deaths with Covid19 Positivity,444,11,406,,2022-02-09T23:55:58.078230+05:30,,,1467 cases were recorded as Non Covid Deaths with Covid19 Positivity,35038,745,32245,449354,18,1467
10,2022-02-09,NL,Zunheboto,,,12 cases were recorded as Non Covid Deaths with Covid19 Positivity,630,16,598,,2022-02-09T23:55:58.078230+05:30,,,1467 cases were recorded as Non Covid Deaths with Covid19 Positivity,35038,745,32245,449354,12,1467
