Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-02-13,KA,2372.0,27.0,5395.0,102279,2960,30982,3476,267613.0,30511.0,293.0,92301.0,759827.0,100749.0,866884.0,129115.0,Bagalkote,15,1,65,,18,21,2,2567,261.0,7.0,934.0,,1821.0,6977.0,821.0,1890826,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,40544.0,359.0,39679.0,,1502588,1288155,19029,0.0,2022-02-14T12:10:31.351840+05:30,65798000,,,34.0 cases were recorded as Deaths due to Non Covid Reasons,3926669.0,39640.0,3851298.0,63463473,51960728,45310303,1016158,34.0,1.0,0.0
2022-02-13,KA,2372.0,27.0,5395.0,102279,2960,30982,3476,267613.0,30511.0,293.0,92301.0,759827.0,100749.0,866884.0,129115.0,Ballari,112,0,166,,72,1190,46,5659,988.0,11.0,2948.0,,3127.0,45852.0,3318.0,2532383,,,2.0 cases were recorded as Deaths due to Non Covid Reasons,115048.0,1739.0,111962.0,,2196910,1887927,28305,2.0,2022-02-14T12:10:31.351840+05:30,65798000,,,34.0 cases were recorded as Deaths due to Non Covid Reasons,3926669.0,39640.0,3851298.0,63463473,51960728,45310303,1016158,34.0,1.0,0.0
2022-02-13,KA,2372.0,27.0,5395.0,102279,2960,30982,3476,267613.0,30511.0,293.0,92301.0,759827.0,100749.0,866884.0,129115.0,Belagavi,96,0,178,,48,1577,127,5015,1858.0,5.0,4712.0,,3115.0,67722.0,11030.0,4778439,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,99491.0,992.0,93759.0,,3816445,3377414,59356,0.0,2022-02-14T12:10:31.351840+05:30,65798000,,,34.0 cases were recorded as Deaths due to Non Covid Reasons,3926669.0,39640.0,3851298.0,63463473,51960728,45310303,1016158,34.0,1.0,0.0
2022-02-13,KA,2372.0,27.0,5395.0,102279,2960,30982,3476,267613.0,30511.0,293.0,92301.0,759827.0,100749.0,866884.0,129115.0,Bengaluru Rural,13,0,30,,46,69,25,5862,278.0,0.0,1104.0,,1249.0,4848.0,1459.0,987257,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,79179.0,905.0,77755.0,,868437,832671,18132,0.0,2022-02-14T12:10:31.351840+05:30,65798000,,,34.0 cases were recorded as Deaths due to Non Covid Reasons,3926669.0,39640.0,3851298.0,63463473,51960728,45310303,1016158,34.0,1.0,0.0
2022-02-13,KA,2372.0,27.0,5395.0,102279,2960,30982,3476,267613.0,30511.0,293.0,92301.0,759827.0,100749.0,866884.0,129115.0,Bengaluru Urban,1059,7,2501,,1157,18259,2087,124541,13410.0,93.0,38741.0,,20377.0,216483.0,38882.0,9588910,,,1.0 cases were recorded as Deaths due to Non Covid Reasons,1770868.0,16769.0,1739868.0,,10679854,9067392,273413,1.0,2022-02-14T12:10:31.351840+05:30,65798000,,,34.0 cases were recorded as Deaths due to Non Covid Reasons,3926669.0,39640.0,3851298.0,63463473,51960728,45310303,1016158,34.0,1.0,0.0
2022-02-13,KA,2372.0,27.0,5395.0,102279,2960,30982,3476,267613.0,30511.0,293.0,92301.0,759827.0,100749.0,866884.0,129115.0,Bidar,20,0,28,,33,90,87,1828,183.0,4.0,630.0,,2175.0,15413.0,2256.0,1700018,,,4.0 cases were recorded as Deaths due to Non Covid Reasons,29742.0,416.0,29197.0,,1327570,1114800,24029,4.0,2022-02-14T12:10:31.351840+05:30,65798000,,,34.0 cases were recorded as Deaths due to Non Covid Reasons,3926669.0,39640.0,3851298.0,63463473,51960728,45310303,1016158,34.0,1.0,0.0
2022-02-13,KA,2372.0,27.0,5395.0,102279,2960,30982,3476,267613.0,30511.0,293.0,92301.0,759827.0,100749.0,866884.0,129115.0,Chamarajanagara,27,0,108,,221,341,13,4670,560.0,3.0,1829.0,,3042.0,19558.0,1585.0,1020962,,,11.0 cases were recorded as Deaths due to Non Covid Reasons,43412.0,520.0,42403.0,,814114,710987,9948,11.0,2022-02-14T12:10:31.351840+05:30,65798000,,,34.0 cases were recorded as Deaths due to Non Covid Reasons,3926669.0,39640.0,3851298.0,63463473,51960728,45310303,1016158,34.0,1.0,0.0
2022-02-13,KA,2372.0,27.0,5395.0,102279,2960,30982,3476,267613.0,30511.0,293.0,92301.0,759827.0,100749.0,866884.0,129115.0,Chikkaballapura,27,0,0,,23,39,19,4287,388.0,2.0,1067.0,,992.0,7870.0,2321.0,1254377,,,1.0 cases were recorded as Deaths due to Non Covid Reasons,55471.0,456.0,54479.0,,1030302,918503,17615,1.0,2022-02-14T12:10:31.351840+05:30,65798000,,,34.0 cases were recorded as Deaths due to Non Covid Reasons,3926669.0,39640.0,3851298.0,63463473,51960728,45310303,1016158,34.0,1.0,0.0
2022-02-13,KA,2372.0,27.0,5395.0,102279,2960,30982,3476,267613.0,30511.0,293.0,92301.0,759827.0,100749.0,866884.0,129115.0,Chikkamagaluru,35,0,79,,7,52,5,1659,277.0,3.0,722.0,,679.0,14352.0,3242.0,1137753,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,57050.0,405.0,56318.0,,853475,750245,18935,0.0,2022-02-14T12:10:31.351840+05:30,65798000,,,34.0 cases were recorded as Deaths due to Non Covid Reasons,3926669.0,39640.0,3851298.0,63463473,51960728,45310303,1016158,34.0,1.0,0.0
2022-02-13,KA,2372.0,27.0,5395.0,102279,2960,30982,3476,267613.0,30511.0,293.0,92301.0,759827.0,100749.0,866884.0,129115.0,Chitradurga,53,0,215,,31,1013,11,2883,712.0,9.0,1705.0,,3482.0,31412.0,1960.0,1660378,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,45896.0,233.0,44705.0,,1331911,1139785,22564,0.0,2022-02-14T12:10:31.351840+05:30,65798000,,,34.0 cases were recorded as Deaths due to Non Covid Reasons,3926669.0,39640.0,3851298.0,63463473,51960728,45310303,1016158,34.0,1.0,0.0
