Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
2022-02-14,HP,Bilaspur,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,18003,95,17647,,2022-02-14 20:55:55.597001,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,280648,4065,273145,,22,1
2022-02-14,HP,Chamba,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,15559,168,15118,,2022-02-14 20:55:55.597001,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,280648,4065,273145,,22,2
2022-02-14,HP,Hamirpur,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,22876,320,22200,,2022-02-14 20:55:55.597001,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,280648,4065,273145,,22,1
2022-02-14,HP,Kangra,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,62537,1234,60420,,2022-02-14 20:55:55.597001,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,280648,4065,273145,,22,6
2022-02-14,HP,Kinnaur,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,4390,40,4309,,2022-02-14 20:55:55.597001,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,280648,4065,273145,,22,0
2022-02-14,HP,Kullu,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,11891,162,11608,,2022-02-14 20:55:55.597001,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,280648,4065,273145,,22,6
2022-02-14,HP,Lahaul and Spiti,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,3140,18,3099,,2022-02-14 20:55:55.597001,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,280648,4065,273145,,22,0
2022-02-14,HP,Mandi,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,38360,493,37470,,2022-02-14 20:55:55.597001,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,280648,4065,273145,,22,0
2022-02-14,HP,Shimla,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,35224,707,34192,,2022-02-14 20:55:55.597001,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,280648,4065,273145,,22,4
2022-02-14,HP,Sirmaur,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,19700,219,19294,,2022-02-14 20:55:55.597001,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,280648,4065,273145,,22,0
2022-02-14,HP,Solan,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,30420,334,29794,,2022-02-14 20:55:55.597001,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,280648,4065,273145,,22,0
2022-02-14,HP,Una,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,18548,275,17994,,2022-02-14 20:55:55.597001,2022-02-14 19:00:00+05:30,https://twitter.com/nhm_hp,,280648,4065,273145,,22,2
