,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-02-21,NL,Others,,,,,,,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
1,2022-02-21,NL,Dimapur,,,,17209,469,15542,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
2,2022-02-21,NL,Kiphire,,,,272,9,261,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
3,2022-02-21,NL,Kohima,,,,10030,130,9609,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
4,2022-02-21,NL,Longleng,,,,312,2,292,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
5,2022-02-21,NL,Mokokchung,,,,2477,59,2337,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
6,2022-02-21,NL,Mon,,,,1175,14,1137,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
7,2022-02-21,NL,Peren,,,,984,6,950,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
8,2022-02-21,NL,Phek,,,,632,19,595,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
9,2022-02-21,NL,Tuensang,,,,1191,14,1170,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
10,2022-02-21,NL,Wokha,,,,451,11,412,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
11,2022-02-21,NL,Zunheboto,,,,630,16,599,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
12,2022-02-21,NL,Unknown,,,,0,4,1476,,2022-02-22 11:55:25.457657,,,,35363,753,34380,457228
