Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2022-02-22,CT,Durg,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,116025,1895,113968,,2022-02-22 20:55:42.585253,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,1149871,14022,1133253,
2022-02-22,CT,Rajnandgaon,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,62997,547,62358,,2022-02-22 20:55:42.585264,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,1149871,14022,1133253,
2022-02-22,CT,Balod,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,29390,408,28932,,2022-02-22 20:55:42.585266,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,1149871,14022,1133253,
2022-02-22,CT,Bametara,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,21611,248,21169,,2022-02-22 20:55:42.585268,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,1149871,14022,1133253,
2022-02-22,CT,Kabeerdham,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,24701,269,24350,,2022-02-22 20:55:42.585269,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,1149871,14022,1133253,
2022-02-22,CT,Raipur,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,193480,3235,189884,,2022-02-22 20:55:42.585271,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,1149871,14022,1133253,
2022-02-22,CT,Dhamtari,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,31558,560,30901,,2022-02-22 20:55:42.585272,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,1149871,14022,1133253,
2022-02-22,CT,Baloda Bazar,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,45192,496,44533,,2022-02-22 20:55:42.585274,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,1149871,14022,1133253,
2022-02-22,CT,Mahasamund,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,33017,375,32615,,2022-02-22 20:55:42.585277,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,1149871,14022,1133253,
2022-02-22,CT,Gariaband,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,20546,196,20344,,2022-02-22 20:55:42.585278,2022-02-22 08:00:00+05:30,https://twitter.com/HealthCgGov,,1149871,14022,1133253,
