,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-02-25,JH,Bokaro,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
1,2022-02-25,JH,Chatra,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
2,2022-02-25,JH,Deoghar,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
3,2022-02-25,JH,Dhanbad,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
4,2022-02-25,JH,Dumka,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
5,2022-02-25,JH,East Singhbhum,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
6,2022-02-25,JH,Garhwa,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
7,2022-02-25,JH,Giridih,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
8,2022-02-25,JH,Godda,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
9,2022-02-25,JH,Gumla,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
10,2022-02-25,JH,Hazaribagh,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
11,2022-02-25,JH,Jamtara,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
12,2022-02-25,JH,Khunti,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
13,2022-02-25,JH,Koderma,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
14,2022-02-25,JH,Latehar,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
15,2022-02-25,JH,Lohardaga,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
16,2022-02-25,JH,Pakur,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
17,2022-02-25,JH,Palamu,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
18,2022-02-25,JH,Ramgarh,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
19,2022-02-25,JH,Ranchi,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
20,2022-02-25,JH,Sahibganj,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
21,2022-02-25,JH,Saraikela-Kharsawan,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
22,2022-02-25,JH,Simdega,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
23,2022-02-25,JH,West Singhbhum,,,,,,,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
24,2022-02-25,JH,Unknown,,,,434271,5315,428436,,2022-02-26 11:55:26.235179,,,,434271,5315,428436,
