,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-02-26,KL,Thiruvananthapuram,,,,699569,8066,687928,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
1,2022-02-26,KL,Kollam,,,,507295,6148,500826,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
2,2022-02-26,KL,Pathanamthitta,,,,264165,2351,257497,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
3,2022-02-26,KL,Alappuzha,,,,388319,5056,383927,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
4,2022-02-26,KL,Kottayam,,,,443700,4182,437480,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
5,2022-02-26,KL,Idukki,,,,206348,1378,200973,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
6,2022-02-26,KL,Ernakulam,,,,876665,7357,859076,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
7,2022-02-26,KL,Thrissur,,,,666019,7044,658393,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
8,2022-02-26,KL,Palakkad,,,,448201,5468,438643,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
9,2022-02-26,KL,Malappuram,,,,645276,5625,639653,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
10,2022-02-26,KL,Kozhikode,,,,669049,6027,663492,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
11,2022-02-26,KL,Wayanad,,,,166870,918,163373,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
12,2022-02-26,KL,Kannur,,,,347149,4247,342414,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
13,2022-02-26,KL,Kasaragod,,,,166055,1294,162062,,2022-02-27T12:10:17.722876+05:30,,,,6494680,65161,6395737,45915058,0,0
