,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-02-26,UP,Lucknow,,,,296136.0,2685.0,292800.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
1,2022-02-26,UP,Prayagraj,,,,88345.0,1106.0,86934.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
2,2022-02-26,UP,Gautam Buddha Nagar,,,,97978.0,490.0,97199.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
3,2022-02-26,UP,Gorakhpur,,,,66732.0,866.0,65622.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
4,2022-02-26,UP,Ghaziabad,,,,84634.0,473.0,83987.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
5,2022-02-26,UP,Ballia,,,,22758.0,245.0,22351.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
6,2022-02-26,UP,Barabanki,,,,23842.0,225.0,23457.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
7,2022-02-26,UP,Lakhimpur Kheri,,,,30203.0,299.0,29772.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
8,2022-02-26,UP,Varanasi,,,,98436.0,988.0,97324.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
9,2022-02-26,UP,Agra,,,,36088.0,464.0,35507.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
10,2022-02-26,UP,Jhansi,,,,44487.0,675.0,43725.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
11,2022-02-26,UP,Rae Bareli,,,,21569.0,346.0,21137.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
12,2022-02-26,UP,Lalitpur,,,,14788.0,133.0,14573.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
13,2022-02-26,UP,Meerut,,,,88958.0,930.0,87946.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
14,2022-02-26,UP,Sultanpur,,,,16988.0,144.0,16766.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
15,2022-02-26,UP,Kanpur Nagar,,,,93355.0,1923.0,91359.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
16,2022-02-26,UP,Hardoi,,,,17560.0,365.0,17134.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
17,2022-02-26,UP,Azamgarh,,,,19655.0,235.0,19362.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
18,2022-02-26,UP,Maharajganj,,,,14796.0,146.0,14593.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
19,2022-02-26,UP,Ambedkar Nagar,,,,6092.0,162.0,5877.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
20,2022-02-26,UP,Etah,,,,12195.0,100.0,12049.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
21,2022-02-26,UP,Sitapur,,,,15929.0,187.0,15698.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
22,2022-02-26,UP,Bulandshahr,,,,26563.0,252.0,26269.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
23,2022-02-26,UP,Bareilly,,,,50448.0,377.0,50031.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
24,2022-02-26,UP,Bahraich,,,,13579.0,178.0,13361.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
25,2022-02-26,UP,Jaunpur,,,,24576.0,244.0,24293.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
26,2022-02-26,UP,Fatehpur,,,,8401.0,141.0,8223.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
27,2022-02-26,UP,Baghpat,,,,11173.0,143.0,10995.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
28,2022-02-26,UP,Pratapgarh,,,,16859.0,163.0,16661.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
29,2022-02-26,UP,Amroha,,,,19486.0,207.0,19246.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
30,2022-02-26,UP,Amethi,,,,11619.0,145.0,11442.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
31,2022-02-26,UP,Jalaun,,,,14044.0,208.0,13805.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
32,2022-02-26,UP,Kannauj,,,,10916.0,125.0,10760.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
33,2022-02-26,UP,Siddharthnagar,,,,11623.0,102.0,11490.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
34,2022-02-26,UP,Deoria,,,,22615.0,230.0,22356.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
35,2022-02-26,UP,Kushinagar,,,,16442.0,235.0,16178.0,,2022-11-01T13:17:52.021393+05:30,,,,2067138.0,23450.0,2039456.0,,0,0
