,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-02-27,TG,Foreign Evacuees,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
1,2022-02-27,TG,Other State,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
2,2022-02-27,TG,Adilabad,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
3,2022-02-27,TG,Bhadradri Kothagudem,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
4,2022-02-27,TG,Hyderabad,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
5,2022-02-27,TG,Jagtial,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
6,2022-02-27,TG,Jangaon,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
7,2022-02-27,TG,Jayashankar Bhupalapally,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
8,2022-02-27,TG,Jogulamba Gadwal,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
9,2022-02-27,TG,Kamareddy,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
10,2022-02-27,TG,Karimnagar,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
11,2022-02-27,TG,Khammam,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
12,2022-02-27,TG,Komaram Bheem,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
13,2022-02-27,TG,Mahabubabad,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
14,2022-02-27,TG,Mahabubnagar,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
15,2022-02-27,TG,Mancherial,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
16,2022-02-27,TG,Medak,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
17,2022-02-27,TG,Medchal Malkajgiri,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
18,2022-02-27,TG,Mulugu,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
19,2022-02-27,TG,Nagarkurnool,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
20,2022-02-27,TG,Nalgonda,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
21,2022-02-27,TG,Narayanpet,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
22,2022-02-27,TG,Nirmal,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
23,2022-02-27,TG,Nizamabad,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
24,2022-02-27,TG,Peddapalli,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
25,2022-02-27,TG,Rajanna Sircilla,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
26,2022-02-27,TG,Ranga Reddy,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
27,2022-02-27,TG,Sangareddy,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
28,2022-02-27,TG,Siddipet,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
29,2022-02-27,TG,Suryapet,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
30,2022-02-27,TG,Vikarabad,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
31,2022-02-27,TG,Wanaparthy,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
32,2022-02-27,TG,Warangal Rural,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
33,2022-02-27,TG,Warangal Urban,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
34,2022-02-27,TG,Yadadri Bhuvanagiri,,,,,,,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
35,2022-02-27,TG,Unknown,,,,788775,4111,781427,,2022-02-28 11:55:24.781529,,,,788775,4111,781427,
