Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-02-28,WB,89,1,204,17694,5835,71806,6036,4708,1554.0,33.0,4136.0,196088.0,99403.0,1150895.0,71166.0,Alipurduar,5,0,7,,25,436,40,209,49.0,0.0,140.0,,2370.0,26270.0,1638.0,1700000,,,,18924,110,18754,,1160877,1006412,22869,0,2022-03-01T08:03:01.306429+05:30,96906000,,,,2015107,21176,1992103,24212326,70044922,59233014,1646441,0,0.0,0.0
2022-02-28,WB,89,1,204,17694,5835,71806,6036,4708,1554.0,33.0,4136.0,196088.0,99403.0,1150895.0,71166.0,Bankura,5,0,7,,247,764,146,173,55.0,0.0,145.0,,4192.0,36674.0,2383.0,3596292,,,,43891,286,43542,,2795204,2388564,78019,0,2022-03-01T08:03:01.306429+05:30,96906000,,,,2015107,21176,1992103,24212326,70044922,59233014,1646441,0,0.0,0.0
2022-02-28,WB,89,1,204,17694,5835,71806,6036,4708,1554.0,33.0,4136.0,196088.0,99403.0,1150895.0,71166.0,Birbhum,2,0,9,,211,916,49,179,67.0,1.0,187.0,,2215.0,14503.0,1016.0,3502387,,,,57715,351,57287,,1558677,1288556,24579,0,2022-03-01T08:03:01.306429+05:30,96906000,,,,2015107,21176,1992103,24212326,70044922,59233014,1646441,0,0.0,0.0
2022-02-28,WB,89,1,204,17694,5835,71806,6036,4708,1554.0,33.0,4136.0,196088.0,99403.0,1150895.0,71166.0,Cooch Behar,3,0,4,,167,1893,127,141,20.0,0.0,109.0,,6148.0,45136.0,1234.0,2822780,,,,33962,106,33816,,2117176,1595943,28967,0,2022-03-01T08:03:01.306429+05:30,96906000,,,,2015107,21176,1992103,24212326,70044922,59233014,1646441,0,0.0,0.0
2022-02-28,WB,89,1,204,17694,5835,71806,6036,4708,1554.0,33.0,4136.0,196088.0,99403.0,1150895.0,71166.0,Dakshin Dinajpur,4,0,5,,170,2796,103,119,46.0,0.0,118.0,,2456.0,27787.0,1404.0,1670931,,,,23096,193,22854,,1229065,1091432,29973,0,2022-03-01T08:03:01.306429+05:30,96906000,,,,2015107,21176,1992103,24212326,70044922,59233014,1646441,0,0.0,0.0
2022-02-28,WB,89,1,204,17694,5835,71806,6036,4708,1554.0,33.0,4136.0,196088.0,99403.0,1150895.0,71166.0,Darjeeling,5,0,9,,111,1513,253,225,66.0,1.0,197.0,,2098.0,19431.0,2479.0,1842034,,,,69032,599,68350,,1511594,1330162,47026,0,2022-03-01T08:03:01.306429+05:30,96906000,,,,2015107,21176,1992103,24212326,70044922,59233014,1646441,0,0.0,0.0
2022-02-28,WB,89,1,204,17694,5835,71806,6036,4708,1554.0,33.0,4136.0,196088.0,99403.0,1150895.0,71166.0,Hooghly,2,0,9,,420,14841,500,207,67.0,0.0,181.0,,5457.0,136930.0,7264.0,5520389,,,,107946,1119,106746,,4086501,3809205,140102,0,2022-03-01T08:03:01.306429+05:30,96906000,,,,2015107,21176,1992103,24212326,70044922,59233014,1646441,0,0.0,0.0
2022-02-28,WB,89,1,204,17694,5835,71806,6036,4708,1554.0,33.0,4136.0,196088.0,99403.0,1150895.0,71166.0,Howrah,3,0,10,,639,6237,499,153,88.0,2.0,162.0,,4618.0,39594.0,3480.0,4841638,,,,125024,1640,123292,,3530008,3163754,92914,0,2022-03-01T08:03:01.306429+05:30,96906000,,,,2015107,21176,1992103,24212326,70044922,59233014,1646441,0,0.0,0.0
2022-02-28,WB,89,1,204,17694,5835,71806,6036,4708,1554.0,33.0,4136.0,196088.0,99403.0,1150895.0,71166.0,Jalpaiguri,5,0,7,,58,617,94,292,51.0,1.0,186.0,,2462.0,35062.0,1904.0,3869675,,,,49598,648,48881,,1660796,1320421,26690,0,2022-03-01T08:03:01.306429+05:30,96906000,,,,2015107,21176,1992103,24212326,70044922,59233014,1646441,0,0.0,0.0
2022-02-28,WB,89,1,204,17694,5835,71806,6036,4708,1554.0,33.0,4136.0,196088.0,99403.0,1150895.0,71166.0,Jhargram,1,0,2,,158,989,32,46,10.0,1.0,45.0,,848.0,7845.0,396.0,1136548,,,,15545,31,15500,,868826,704199,13559,0,2022-03-01T08:03:01.306429+05:30,96906000,,,,2015107,21176,1992103,24212326,70044922,59233014,1646441,0,0.0,0.0
