,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-03-01,MH,Ahmednagar,,,,376843,7228,368978,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
1,2022-03-01,MH,Akola,,,,66131,1462,64636,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
2,2022-03-01,MH,Amravati,,,,105907,1622,104261,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
3,2022-03-01,MH,Aurangabad,,,,176251,4270,171755,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
4,2022-03-01,MH,Beed,,,,109058,2874,106127,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
5,2022-03-01,MH,Bhandara,,,,67918,1132,66743,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
6,2022-03-01,MH,Buldhana,,,,91758,815,90876,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
7,2022-03-01,MH,Chandrapur,,,,98791,1587,97176,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
8,2022-03-01,MH,Dhule,,,,50635,659,49961,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
9,2022-03-01,MH,Gadchiroli,,,,36914,691,36069,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
10,2022-03-01,MH,Gondia,,,,45387,579,44792,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
11,2022-03-01,MH,Hingoli,,,,22162,513,21618,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
12,2022-03-01,MH,Jalgaon,,,,149445,2728,146675,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
13,2022-03-01,MH,Jalna,,,,66295,1223,65066,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
14,2022-03-01,MH,Kolhapur,,,,220393,5899,214423,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
15,2022-03-01,MH,Latur,,,,104874,2483,102377,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
16,2022-03-01,MH,Mumbai,,,,1055631,16691,1035324,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
17,2022-03-01,MH,Mumbai Suburban,,,,,,,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
18,2022-03-01,MH,Nagpur,,,,576153,9143,566678,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
19,2022-03-01,MH,Nanded,,,,102620,2695,99894,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
20,2022-03-01,MH,Nandurbar,,,,46578,959,45577,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
21,2022-03-01,MH,Nashik,,,,472565,8901,463383,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
22,2022-03-01,MH,Osmanabad,,,,75078,2022,72905,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
23,2022-03-01,MH,Other State,,,,144,111,31,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
24,2022-03-01,MH,Palghar,,,,163392,3392,159908,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
25,2022-03-01,MH,Parbhani,,,,58500,1256,57196,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
26,2022-03-01,MH,Pune,,,,1450134,20153,1427454,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
27,2022-03-01,MH,Raigad,,,,244121,4935,239006,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
28,2022-03-01,MH,Ratnagiri,,,,84378,2541,81812,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
29,2022-03-01,MH,Sangli,,,,226929,5655,221201,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
30,2022-03-01,MH,Satara,,,,278027,6672,271208,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
31,2022-03-01,MH,Sindhudurg,,,,57124,1511,55464,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
32,2022-03-01,MH,Solapur,,,,226905,5756,220976,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
33,2022-03-01,MH,Thane,,,,766126,11858,753752,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
34,2022-03-01,MH,Wardha,,,,65653,1236,64220,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
35,2022-03-01,MH,Washim,,,,45589,638,44924,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
36,2022-03-01,MH,Yavatmal,,,,81971,1816,80122,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
37,2022-03-01,MH,Unknown,,,,0,0,0,,2022-03-02 15:20:20.185647,,,,7866380,143706,7712568,77940925
