,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-03-04,BR,Araria,,,,16111,140,15966,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
1,2022-03-04,BR,Arwal,,,,8224,109,8112,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
2,2022-03-04,BR,Aurangabad,,,,21281,79,21202,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
3,2022-03-04,BR,Banka,,,,8767,113,8653,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
4,2022-03-04,BR,Begusarai,,,,31412,563,30846,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
5,2022-03-04,BR,Bhagalpur,,,,28976,362,28609,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
6,2022-03-04,BR,Bhojpur,,,,11933,240,11691,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
7,2022-03-04,BR,Buxar,,,,10380,219,10159,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
8,2022-03-04,BR,Darbhanga,,,,13499,371,13124,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
9,2022-03-04,BR,East Champaran,,,,21072,536,20534,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
10,2022-03-04,BR,Gaya,,,,37179,373,36798,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
11,2022-03-04,BR,Gopalganj,,,,17849,260,17585,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
12,2022-03-04,BR,Jamui,,,,11005,120,10885,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
13,2022-03-04,BR,Jehanabad,,,,11850,244,11603,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
14,2022-03-04,BR,Kaimur,,,,5640,147,5493,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
15,2022-03-04,BR,Katihar,,,,19931,269,19657,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
16,2022-03-04,BR,Khagaria,,,,10662,165,10496,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
17,2022-03-04,BR,Kishanganj,,,,11294,107,11187,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
18,2022-03-04,BR,Lakhisarai,,,,8605,103,8502,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
19,2022-03-04,BR,Madhepura,,,,15092,115,14972,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
20,2022-03-04,BR,Madhubani,,,,20086,389,19694,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
21,2022-03-04,BR,Munger,,,,17842,273,17567,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
22,2022-03-04,BR,Muzaffarpur,,,,36155,629,35525,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
23,2022-03-04,BR,Nalanda,,,,25497,474,25015,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
24,2022-03-04,BR,Nawada,,,,11079,258,10817,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
25,2022-03-04,BR,Patna,,,,180477,2840,177554,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
26,2022-03-04,BR,Purnia,,,,27975,232,27736,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
27,2022-03-04,BR,Rohtas,,,,15445,274,15169,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
28,2022-03-04,BR,Saharsa,,,,20173,197,19970,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
29,2022-03-04,BR,Samastipur,,,,25022,260,24749,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
30,2022-03-04,BR,Saran,,,,26176,260,25912,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
31,2022-03-04,BR,Sheikhpura,,,,8036,105,7925,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
32,2022-03-04,BR,Sheohar,,,,4735,52,4681,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
33,2022-03-04,BR,Sitamarhi,,,,10546,130,10409,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
34,2022-03-04,BR,Siwan,,,,16529,287,16238,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
35,2022-03-04,BR,Supaul,,,,18221,157,18059,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
36,2022-03-04,BR,Vaishali,,,,22425,408,22015,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
37,2022-03-04,BR,West Champaran,,,,23046,395,22638,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
38,2022-03-04,BR,Unknown,,,,0,11030,0,,2022-03-05 14:15:29.998015,,,,830227,12255,817747,69695939
