,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-03-07,CT,Other State,,,,852,131,721,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
1,2022-03-07,CT,Balod,,,,29407,408,28988,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
2,2022-03-07,CT,Baloda Bazar,,,,45250,497,44748,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
3,2022-03-07,CT,Balrampur,,,,22305,121,22160,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
4,2022-03-07,CT,Bametara,,,,21692,248,21423,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
5,2022-03-07,CT,Bastar,,,,24155,199,23928,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
6,2022-03-07,CT,Bijapur,,,,9764,58,9697,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
7,2022-03-07,CT,Bilaspur,,,,75917,1238,74606,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
8,2022-03-07,CT,Dakshin Bastar Dantewada,,,,12109,27,12078,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
9,2022-03-07,CT,Dhamtari,,,,31612,561,31033,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
10,2022-03-07,CT,Durg,,,,116145,1897,114196,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
11,2022-03-07,CT,Gariaband,,,,20552,196,20355,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
12,2022-03-07,CT,Janjgir Champa,,,,63472,863,62602,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
13,2022-03-07,CT,Jashpur,,,,31437,215,31194,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
14,2022-03-07,CT,Kabeerdham,,,,24762,269,24459,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
15,2022-03-07,CT,Kondagaon,,,,15898,102,15783,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
16,2022-03-07,CT,Korba,,,,63002,600,62340,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
17,2022-03-07,CT,Koriya,,,,29468,181,29254,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
18,2022-03-07,CT,Mahasamund,,,,33027,375,32646,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
19,2022-03-07,CT,Mungeli,,,,25979,169,25800,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
20,2022-03-07,CT,Narayanpur,,,,4957,14,4924,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
21,2022-03-07,CT,Raigarh,,,,73408,994,72404,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
22,2022-03-07,CT,Raipur,,,,193774,3238,190434,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
23,2022-03-07,CT,Rajnandgaon,,,,63048,547,62481,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
24,2022-03-07,CT,Sukma,,,,8973,21,8950,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
25,2022-03-07,CT,Surajpur,,,,31854,229,31610,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
26,2022-03-07,CT,Surguja,,,,37554,250,37273,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
27,2022-03-07,CT,Uttar Bastar Kanker,,,,27990,237,27744,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
28,2022-03-07,CT,Gaurela Pendra Marwahi,,,,13189,148,13017,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
29,2022-03-07,CT,Unknown,,,,0,0,0,,2022-03-08 11:55:27.264015,,,,1151552,14033,1136848,
