Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Bishnupur,2,0,,90,121,469,4,46,14.0,0.0,,523.0,389.0,1901.0,116.0,240363,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,9815,205,,82271,152722,115192,4144,0,2022-03-08 19:55:51.813936,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Chandel,0,0,,28,1,43,29,10,4.0,0.0,,150.0,44.0,169.0,89.0,144028,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,2705,42,,36278,33047,24037,4183,0,2022-03-08 19:55:51.813953,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Churachandpur,3,0,,137,62,248,18,21,5.0,0.0,,741.0,448.0,2572.0,229.0,271274,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,11042,168,,132416,125435,99267,5238,0,2022-03-08 19:55:51.813955,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Imphal East,1,0,,258,149,719,77,110,21.0,0.0,,1685.0,1041.0,4154.0,628.0,452661,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,30399,510,,275971,304148,234264,12440,0,2022-03-08 19:55:51.813956,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Imphal West,5,0,,375,121,377,120,176,35.0,1.0,,2490.0,766.0,3034.0,573.0,514683,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,48652,703,,497715,364240,290777,15779,0,2022-03-08 19:55:51.813958,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Jiribam,0,0,,23,2,10,0,0,0.0,0.0,,107.0,28.0,38.0,20.0,43818,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,1110,7,,36244,30241,24599,1564,0,2022-03-08 19:55:51.813959,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Kakching,1,0,,49,34,158,28,23,11.0,1.0,,247.0,331.0,936.0,136.0,135481,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,6877,122,,65166,99279,79002,2180,0,2022-03-08 19:55:51.813960,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Kamjong,0,0,,1,7,28,0,1,0.0,0.0,,26.0,63.0,199.0,0.0,45616,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,1034,5,,15304,14199,9827,242,0,2022-03-08 19:55:51.813961,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Kangpokpi,0,0,,22,53,70,3,18,4.0,0.0,,171.0,464.0,898.0,58.0,0,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,3125,66,,45040,55538,35941,1268,0,2022-03-08 19:55:51.813965,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Noney,1,0,,11,7,41,0,5,3.0,0.0,,79.0,44.0,284.0,26.0,0,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,1157,5,,19116,21585,15856,1941,0,2022-03-08 19:55:51.813967,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Pherzawl,0,0,,3,4,19,0,0,0.0,0.0,,30.0,53.0,168.0,8.0,47250,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,465,0,,8080,15193,14093,373,0,2022-03-08 19:55:51.813968,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Senapati,1,0,,105,27,49,1,15,5.0,0.0,,615.0,115.0,333.0,37.0,354772,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,2482,12,,80609,35865,27829,1635,0,2022-03-08 19:55:51.813969,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Tamenglong,1,0,,58,14,71,4,15,2.0,0.0,,330.0,80.0,236.0,33.0,140143,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,3469,17,,54600,26588,18653,1780,0,2022-03-08 19:55:51.813970,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
2022-03-08,MN,18,0,25,1326,985,2605,322,516,118.0,3.0,306.0,8225.0,6617.0,17207.0,2170.0,Tengnoupal,1,0,,23,4,9,24,5,2.0,1.0,,77.0,54.0,93.0,58.0,0,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,1197,15,,17541,30915,21561,2138,0,2022-03-08 19:55:51.813972,3103000,2022-03-08 14:00:00+05:30,https://twitter.com/health_manipur,,136921,2115,134694,1582919,1519039,1157191,61904,0,0.0,0.0
