,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-03-08,HR,Foreign Evacuees,,,,,,,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
1,2022-03-08,HR,Ambala,,,,40738,542,40172,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
2,2022-03-08,HR,Bhiwani,,,,26428,664,25739,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
3,2022-03-08,HR,Charkhi Dadri,,,,7415,145,7259,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
4,2022-03-08,HR,Faridabad,,,,126914,739,126046,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
5,2022-03-08,HR,Fatehabad,,,,20044,498,19538,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
6,2022-03-08,HR,Gurugram,,,,259769,1005,258273,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
7,2022-03-08,HR,Hisar,,,,61884,1170,60670,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
8,2022-03-08,HR,Italians,,,,,,,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
9,2022-03-08,HR,Jhajjar,,,,23419,346,23055,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
10,2022-03-08,HR,Jind,,,,24337,541,23787,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
11,2022-03-08,HR,Kaithal,,,,14210,370,13827,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
12,2022-03-08,HR,Karnal,,,,48149,596,47525,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
13,2022-03-08,HR,Kurukshetra,,,,26817,395,26407,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
14,2022-03-08,HR,Mahendragarh,,,,24732,165,24536,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
15,2022-03-08,HR,Nuh,,,,6090,136,5938,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
16,2022-03-08,HR,Palwal,,,,13460,155,13284,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
17,2022-03-08,HR,Panchkula,,,,44088,414,43646,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
18,2022-03-08,HR,Panipat,,,,36049,670,35372,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
19,2022-03-08,HR,Rewari,,,,24589,224,24355,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
20,2022-03-08,HR,Rohtak,,,,31802,534,31208,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
21,2022-03-08,HR,Sirsa,,,,33346,537,32793,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
22,2022-03-08,HR,Sonipat,,,,58439,276,58142,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
23,2022-03-08,HR,Yamunanagar,,,,30593,455,30125,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
24,2022-03-08,HR,Unknown,,,,0.0,0,0,,2022-03-09 13:27:31.430386,,,,983312,10577,971697,16722298
