,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-03-08,JK,Anantnag,,,,22419,219,22200,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
1,2022-03-08,JK,Bandipora,,,,13678,118,13555,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
2,2022-03-08,JK,Baramulla,,,,37612,304,37268,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
3,2022-03-08,JK,Budgam,,,,34806,237,34567,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
4,2022-03-08,JK,Doda,,,,11509,144,11347,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
5,2022-03-08,JK,Ganderbal,,,,13626,84,13542,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
6,2022-03-08,JK,Jammu,,,,76099,1222,74774,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
7,2022-03-08,JK,Kathua,,,,11405,166,11238,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
8,2022-03-08,JK,Kishtwar,,,,5888,46,5834,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
9,2022-03-08,JK,Kulgam,,,,16314,119,16191,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
10,2022-03-08,JK,Kupwara,,,,21730,174,21545,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
11,2022-03-08,JK,Mirpur,,,,,,,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
12,2022-03-08,JK,Muzaffarabad,,,,,,,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
13,2022-03-08,JK,Pulwama,,,,18418,201,18215,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
14,2022-03-08,JK,Punch,,,,7738,110,7626,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
15,2022-03-08,JK,Rajouri,,,,12801,249,12549,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
16,2022-03-08,JK,Ramban,,,,8135,69,8057,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
17,2022-03-08,JK,Reasi,,,,8701,48,8651,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
18,2022-03-08,JK,Samba,,,,9083,125,8957,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
19,2022-03-08,JK,Shopiyan,,,,6304,60,6244,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
20,2022-03-08,JK,Srinagar,,,,102293,907,101279,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
21,2022-03-08,JK,Udhampur,,,,14764,147,14615,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
22,2022-03-08,JK,Unknown,,,,0,0,0,,2022-03-09 13:27:31.430386,,,,453323,4749,448254,23609405
