,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-03-10,ML,East Garo Hills,,,,2043,17,2022,,2022-03-11 11:55:26.993704,,,,93649,1587,91950,
1,2022-03-10,ML,East Jaintia Hills,,,,2608,37,2564,,2022-03-11 11:55:26.993704,,,,93649,1587,91950,
2,2022-03-10,ML,East Khasi Hills,,,,47038,1073,45944,,2022-03-11 11:55:26.993704,,,,93649,1587,91950,
3,2022-03-10,ML,North Garo Hills,,,,1878,9,1866,,2022-03-11 11:55:26.993704,,,,93649,1587,91950,
4,2022-03-10,ML,Ribhoi,,,,,,,,2022-03-11 11:55:26.993704,,,,93649,1587,91950,
5,2022-03-10,ML,South Garo Hills,,,,1340,13,1324,,2022-03-11 11:55:26.993704,,,,93649,1587,91950,
6,2022-03-10,ML,South West Garo Hills,,,,2089,20,2066,,2022-03-11 11:55:26.993704,,,,93649,1587,91950,
7,2022-03-10,ML,South West Khasi Hills,,,,2693,19,2670,,2022-03-11 11:55:26.993704,,,,93649,1587,91950,
8,2022-03-10,ML,West Garo Hills,,,,10705,80,10609,,2022-03-11 11:55:26.993704,,,,93649,1587,91950,
9,2022-03-10,ML,West Jaintia Hills,,,,7175,139,7018,,2022-03-11 11:55:26.993704,,,,93649,1587,91950,
10,2022-03-10,ML,West Khasi Hills,,,,5644,75,5560,,2022-03-11 11:55:26.993704,,,,93649,1587,91950,
11,2022-03-10,ML,Unknown,,,,0,0,0,,2022-03-11 11:55:26.993704,,,,93649,1587,91950,
