,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-03-12,AS,Airport Quarantine,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
1,2022-03-12,AS,Baksa,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
2,2022-03-12,AS,Barpeta,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
3,2022-03-12,AS,Biswanath,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
4,2022-03-12,AS,Bongaigaon,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
5,2022-03-12,AS,Cachar,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
6,2022-03-12,AS,Charaideo,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
7,2022-03-12,AS,Chirang,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
8,2022-03-12,AS,Darrang,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
9,2022-03-12,AS,Dhemaji,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
10,2022-03-12,AS,Dhubri,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
11,2022-03-12,AS,Dibrugarh,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
12,2022-03-12,AS,Dima Hasao,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
13,2022-03-12,AS,Goalpara,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
14,2022-03-12,AS,Golaghat,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
15,2022-03-12,AS,Hailakandi,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
16,2022-03-12,AS,Hojai,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
17,2022-03-12,AS,Jorhat,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
18,2022-03-12,AS,Kamrup,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
19,2022-03-12,AS,Kamrup Metropolitan,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
20,2022-03-12,AS,Karbi Anglong,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
21,2022-03-12,AS,Karimganj,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
22,2022-03-12,AS,Kokrajhar,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
23,2022-03-12,AS,Lakhimpur,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
24,2022-03-12,AS,Majuli,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
25,2022-03-12,AS,Morigaon,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
26,2022-03-12,AS,Nagaon,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
27,2022-03-12,AS,Nalbari,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
28,2022-03-12,AS,Other State,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
29,2022-03-12,AS,Sivasagar,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
30,2022-03-12,AS,Sonitpur,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
31,2022-03-12,AS,South Salmara Mankachar,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
32,2022-03-12,AS,Tinsukia,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
33,2022-03-12,AS,Udalguri,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
34,2022-03-12,AS,West Karbi Anglong,,,,,,,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
35,2022-03-12,AS,Unknown,,,,724171,6639,716166,,2022-03-13 11:55:41.864431,,,,724171,6639,716166,
