,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-03-15,MP,Agar Malwa,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
1,2022-03-15,MP,Alirajpur,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
2,2022-03-15,MP,Anuppur,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
3,2022-03-15,MP,Ashoknagar,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
4,2022-03-15,MP,Balaghat,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
5,2022-03-15,MP,Barwani,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
6,2022-03-15,MP,Betul,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
7,2022-03-15,MP,Bhind,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
8,2022-03-15,MP,Bhopal,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
9,2022-03-15,MP,Burhanpur,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
10,2022-03-15,MP,Chhatarpur,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
11,2022-03-15,MP,Chhindwara,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
12,2022-03-15,MP,Damoh,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
13,2022-03-15,MP,Datia,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
14,2022-03-15,MP,Dewas,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
15,2022-03-15,MP,Dhar,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
16,2022-03-15,MP,Dindori,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
17,2022-03-15,MP,Guna,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
18,2022-03-15,MP,Gwalior,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
19,2022-03-15,MP,Harda,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
20,2022-03-15,MP,Hoshangabad,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
21,2022-03-15,MP,Indore,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
22,2022-03-15,MP,Jabalpur,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
23,2022-03-15,MP,Jhabua,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
24,2022-03-15,MP,Katni,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
25,2022-03-15,MP,Khandwa,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
26,2022-03-15,MP,Khargone,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
27,2022-03-15,MP,Mandla,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
28,2022-03-15,MP,Mandsaur,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
29,2022-03-15,MP,Morena,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
30,2022-03-15,MP,Narsinghpur,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
31,2022-03-15,MP,Neemuch,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
32,2022-03-15,MP,Niwari,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
33,2022-03-15,MP,Other Region,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
34,2022-03-15,MP,Panna,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
35,2022-03-15,MP,Raisen,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
36,2022-03-15,MP,Rajgarh,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
37,2022-03-15,MP,Ratlam,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
38,2022-03-15,MP,Rewa,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
39,2022-03-15,MP,Sagar,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
40,2022-03-15,MP,Satna,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
41,2022-03-15,MP,Sehore,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
42,2022-03-15,MP,Seoni,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
43,2022-03-15,MP,Shahdol,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
44,2022-03-15,MP,Shajapur,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
45,2022-03-15,MP,Sheopur,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
46,2022-03-15,MP,Shivpuri,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
47,2022-03-15,MP,Sidhi,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
48,2022-03-15,MP,Singrauli,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
49,2022-03-15,MP,Tikamgarh,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
50,2022-03-15,MP,Ujjain,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
51,2022-03-15,MP,Umaria,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
52,2022-03-15,MP,Vidisha,,,,,,,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
53,2022-03-15,MP,Unknown,,,,1040771,10733,1029556,,2022-03-16 11:55:23.997056,,,,1040771,10733,1029556,
