,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-03-15,NL,Others,,,,0,0,0,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,0
1,2022-03-15,NL,Dimapur,,,,17259,472,15677,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,1076
2,2022-03-15,NL,Kiphire,,,,273,9,262,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,1
3,2022-03-15,NL,Kohima,,,,10044,131,9668,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,236
4,2022-03-15,NL,Longleng,,,,314,2,293,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,18
5,2022-03-15,NL,Mokokchung,,,,2489,59,2354,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,72
6,2022-03-15,NL,Mon,,,,1175,14,1139,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,22
7,2022-03-15,NL,Peren,,,,984,6,957,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,21
8,2022-03-15,NL,Phek,,,,636,19,608,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,9
9,2022-03-15,NL,Tuensang,,,,1194,14,1178,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,3
10,2022-03-15,NL,Wokha,,,,453,11,420,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,18
11,2022-03-15,NL,Zunheboto,,,,630,16,599,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,12
12,2022-03-15,NL,Unknown,,,,1,4,1492,,2022-03-16 23:55:28.088046,,,,35452,757,34647,463708,1488,0
