Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeOtherNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeOtherNumberForState,cumulativeTestedNumberForState
2022-03-23,AP,Anantapur,,,,177533,1105,0,176291,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,Chittoor,,,,272372,2000,0,270355,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,East Godavari,,,,316533,1298,0,315076,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,Guntur,,,,203236,1277,0,201932,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,Y.S.R. Kadapa,,,,134882,652,0,134224,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,Krishna,,,,136884,1496,0,135369,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,Kurnool,,,,144244,867,0,143374,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,S.P.S. Nellore,,,,164361,1090,0,163264,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,Prakasam,,,,155929,1146,0,154776,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,Srikakulam,,,,133941,798,0,133134,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,Visakhapatnam,,,,190908,1184,0,189688,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,Vizianagaram,,,,92238,680,0,91549,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,West Godavari,,,,193341,1137,0,192155,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,Other States,,,,2461,0,0,2461,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
2022-03-23,AP,Other Countries,,,,434,0,0,434,,2022-03-24 11:28:31.964499,2022-03-24 11:28:31.965192,,,2319297,14730,2304082,0,33350309
