Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-03-25,NL,3,0,11,294,388,673,125,28,11.0,0.0,29.0,2159.0,1851.0,3894.0,487.0,Dimapur,1,0,1,,77,208,14,16,9.0,0.0,14.0,,430.0,1040.0,144.0,379769,,,1076 cases were recorded as Non Covid Deaths with Covid19 Positivity,17274,473,15709,,328719,253615,9942,1076,2022-03-25T23:55:40.012010+05:30,2150000,,,1488 cases were recorded as Non Covid Deaths with Covid19 Positivity,35470,754,33208,468058,879219,667955,23815,1488,0.0,0.0
2022-03-25,NL,3,0,11,294,388,673,125,28,11.0,0.0,29.0,2159.0,1851.0,3894.0,487.0,Kiphire,1,0,0,,121,65,0,1,1.0,0.0,1.0,,166.0,346.0,0.0,74033,,,1 cases were recorded as Non Covid Deaths with Covid19 Positivity,274,9,263,,23877,14323,785,1,2022-03-25T23:55:40.012010+05:30,2150000,,,1488 cases were recorded as Non Covid Deaths with Covid19 Positivity,35470,754,33208,468058,879219,667955,23815,1488,0.0,0.0
2022-03-25,NL,3,0,11,294,388,673,125,28,11.0,0.0,29.0,2159.0,1851.0,3894.0,487.0,Kohima,0,0,10,,29,114,50,4,0.0,0.0,11.0,,194.0,408.0,133.0,270063,,,236 cases were recorded as Non Covid Deaths with Covid19 Positivity,10044,131,9680,,125562,102985,4541,236,2022-03-25T23:55:40.012010+05:30,2150000,,,1488 cases were recorded as Non Covid Deaths with Covid19 Positivity,35470,754,33208,468058,879219,667955,23815,1488,0.0,0.0
2022-03-25,NL,3,0,11,294,388,673,125,28,11.0,0.0,29.0,2159.0,1851.0,3894.0,487.0,Longleng,0,0,0,,0,0,0,1,0.0,0.0,0.0,,1.0,9.0,8.0,50593,,,18 cases were recorded as Non Covid Deaths with Covid19 Positivity,314,2,294,,24295,18664,498,18,2022-03-25T23:55:40.012010+05:30,2150000,,,1488 cases were recorded as Non Covid Deaths with Covid19 Positivity,35470,754,33208,468058,879219,667955,23815,1488,0.0,0.0
2022-03-25,NL,3,0,11,294,388,673,125,28,11.0,0.0,29.0,2159.0,1851.0,3894.0,487.0,Mokokchung,0,0,0,,80,94,37,5,0.0,0.0,2.0,,408.0,269.0,49.0,193171,,,72 cases were recorded as Non Covid Deaths with Covid19 Positivity,2490,59,2360,,81238,69113,2078,72,2022-03-25T23:55:40.012010+05:30,2150000,,,1488 cases were recorded as Non Covid Deaths with Covid19 Positivity,35470,754,33208,468058,879219,667955,23815,1488,0.0,0.0
2022-03-25,NL,3,0,11,294,388,673,125,28,11.0,0.0,29.0,2159.0,1851.0,3894.0,487.0,Mon,0,0,0,,27,81,1,0,0.0,0.0,0.0,,101.0,444.0,32.0,259604,,,22 cases were recorded as Non Covid Deaths with Covid19 Positivity,1175,14,1139,,86953,63578,1200,22,2022-03-25T23:55:40.012010+05:30,2150000,,,1488 cases were recorded as Non Covid Deaths with Covid19 Positivity,35470,754,33208,468058,879219,667955,23815,1488,0.0,0.0
2022-03-25,NL,3,0,11,294,388,673,125,28,11.0,0.0,29.0,2159.0,1851.0,3894.0,487.0,Peren,0,0,0,,20,22,13,0,0.0,0.0,0.0,,150.0,188.0,16.0,163294,,,21 cases were recorded as Non Covid Deaths with Covid19 Positivity,984,6,957,,26366,18063,1238,21,2022-03-25T23:55:40.012010+05:30,2150000,,,1488 cases were recorded as Non Covid Deaths with Covid19 Positivity,35470,754,33208,468058,879219,667955,23815,1488,0.0,0.0
2022-03-25,NL,3,0,11,294,388,673,125,28,11.0,0.0,29.0,2159.0,1851.0,3894.0,487.0,Phek,0,0,0,,11,50,8,0,0.0,0.0,0.0,,150.0,450.0,33.0,163294,,,9 cases were recorded as Non Covid Deaths with Covid19 Positivity,636,19,608,,44247,30254,1079,9,2022-03-25T23:55:40.012010+05:30,2150000,,,1488 cases were recorded as Non Covid Deaths with Covid19 Positivity,35470,754,33208,468058,879219,667955,23815,1488,0.0,0.0
2022-03-25,NL,3,0,11,294,388,673,125,28,11.0,0.0,29.0,2159.0,1851.0,3894.0,487.0,Tuensang,0,0,0,,3,6,2,0,0.0,0.0,0.0,,151.0,387.0,37.0,414801,,,3 cases were recorded as Non Covid Deaths with Covid19 Positivity,1194,14,1178,,50056,36680,1465,3,2022-03-25T23:55:40.012010+05:30,2150000,,,1488 cases were recorded as Non Covid Deaths with Covid19 Positivity,35470,754,33208,468058,879219,667955,23815,1488,0.0,0.0
2022-03-25,NL,3,0,11,294,388,673,125,28,11.0,0.0,29.0,2159.0,1851.0,3894.0,487.0,Wokha,1,0,0,,8,18,0,1,1.0,0.0,1.0,,50.0,182.0,35.0,166239,,,18 cases were recorded as Non Covid Deaths with Covid19 Positivity,455,11,421,,42409,30317,464,18,2022-03-25T23:55:40.012010+05:30,2150000,,,1488 cases were recorded as Non Covid Deaths with Covid19 Positivity,35470,754,33208,468058,879219,667955,23815,1488,0.0,0.0
