Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-03-27,HR,42.0,1,59,12482,4386,4383,668,999.0,452.0,11.0,538.0,98247.0,165608.0,93112.0,10642.0,Ambala,0,0,0,,266,190,21,17,0.0,0.0,6.0,,4898.0,3976.0,678.0,1136784,,,,40758.0,542,40216,,1035979,990704,16575,0,2022-03-28T09:57:33.635346+05:30,28672000,,,,985019.0,10608,974039,17013210,23106070,18413704,267730,0,0.0,0.0
2022-03-27,HR,42.0,1,59,12482,4386,4383,668,999.0,452.0,11.0,538.0,98247.0,165608.0,93112.0,10642.0,Bhiwani,0,0,1,,83,34,13,45,6.0,1.0,19.0,,4635.0,3116.0,223.0,1629109,,,,26480.0,665,25812,,902270,798021,7555,0,2022-03-28T09:57:33.635346+05:30,28672000,,,,985019.0,10608,974039,17013210,23106070,18413704,267730,0,0.0,0.0
2022-03-27,HR,42.0,1,59,12482,4386,4383,668,999.0,452.0,11.0,538.0,98247.0,165608.0,93112.0,10642.0,Charkhi Dadri,0,0,0,,19,0,0,7,3.0,0.0,2.0,,6667.0,884.0,211.0,502276,,,,7423.0,145,7276,,434356,407360,6228,0,2022-03-28T09:57:33.635346+05:30,28672000,,,,985019.0,10608,974039,17013210,23106070,18413704,267730,0,0.0,0.0
2022-03-27,HR,42.0,1,59,12482,4386,4383,668,999.0,452.0,11.0,538.0,98247.0,165608.0,93112.0,10642.0,Faridabad,7,0,2,,1157,695,132,79,28.0,0.0,42.0,,16808.0,8087.0,1639.0,1798954,,,,127036.0,739,126263,,2106323,1714981,28188,0,2022-03-28T09:57:33.635346+05:30,28672000,,,,985019.0,10608,974039,17013210,23106070,18413704,267730,0,0.0,0.0
2022-03-27,HR,42.0,1,59,12482,4386,4383,668,999.0,452.0,11.0,538.0,98247.0,165608.0,93112.0,10642.0,Fatehabad,0,0,0,,71,12,0,9,2.0,0.0,1.0,,4114.0,1229.0,54.0,941522,,,,20054.0,498,19554,,702445,475115,2344,0,2022-03-28T09:57:33.635346+05:30,28672000,,,,985019.0,10608,974039,17013210,23106070,18413704,267730,0,0.0,0.0
2022-03-27,HR,42.0,1,59,12482,4386,4383,668,999.0,452.0,11.0,538.0,98247.0,165608.0,93112.0,10642.0,Gurugram,27,0,44,,608,835,283,473,334.0,0.0,374.0,,22445.0,9608.0,2869.0,1514085,,,,260767.0,1006,259510,,2680993,2303724,62951,0,2022-03-28T09:57:33.635346+05:30,28672000,,,,985019.0,10608,974039,17013210,23106070,18413704,267730,0,0.0,0.0
2022-03-27,HR,42.0,1,59,12482,4386,4383,668,999.0,452.0,11.0,538.0,98247.0,165608.0,93112.0,10642.0,Hisar,5,0,6,,83,671,16,97,31.0,0.0,26.0,,8270.0,9361.0,252.0,1742815,,,,62031.0,1171,60848,,1316259,946053,12595,0,2022-03-28T09:57:33.635346+05:30,28672000,,,,985019.0,10608,974039,17013210,23106070,18413704,267730,0,0.0,0.0
2022-03-27,HR,42.0,1,59,12482,4386,4383,668,999.0,452.0,11.0,538.0,98247.0,165608.0,93112.0,10642.0,Jhajjar,0,0,0,,161,146,1,6,1.0,0.0,1.0,,5093.0,3106.0,259.0,956907,,,,23426.0,350,23070,,858097,666836,6608,0,2022-03-28T09:57:33.635346+05:30,28672000,,,,985019.0,10608,974039,17013210,23106070,18413704,267730,0,0.0,0.0
2022-03-27,HR,42.0,1,59,12482,4386,4383,668,999.0,452.0,11.0,538.0,98247.0,165608.0,93112.0,10642.0,Jind,0,0,0,,94,72,0,6,3.0,0.0,4.0,,3517.0,5344.0,132.0,1332042,,,,24347.0,542,23802,,952803,692779,3187,0,2022-03-28T09:57:33.635346+05:30,28672000,,,,985019.0,10608,974039,17013210,23106070,18413704,267730,0,0.0,0.0
2022-03-27,HR,42.0,1,59,12482,4386,4383,668,999.0,452.0,11.0,538.0,98247.0,165608.0,93112.0,10642.0,Kaithal,0,0,0,,70,60,8,14,2.0,0.0,1.0,,4569.0,5915.0,79.0,1072861,,,,14225.0,370,13853,,895084,784732,5748,0,2022-03-28T09:57:33.635346+05:30,28672000,,,,985019.0,10608,974039,17013210,23106070,18413704,267730,0,0.0,0.0
