Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeOtherNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeOtherNumberForState,cumulativeTestedNumberForState
2022-03-30,AP,Anantapur,,,,177607,1105,0,176413,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,Chittoor,,,,272386,2000,0,270372,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,East Godavari,,,,316573,1298,0,315180,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,Guntur,,,,203244,1277,0,201956,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,Y.S.R. Kadapa,,,,134888,652,0,134230,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,Krishna,,,,136893,1496,0,135383,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,Kurnool,,,,144244,867,0,143377,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,S.P.S. Nellore,,,,164367,1090,0,163266,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,Prakasam,,,,155935,1146,0,154784,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,Srikakulam,,,,133947,798,0,133138,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,Visakhapatnam,,,,190933,1184,0,189723,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,Vizianagaram,,,,92239,680,0,91555,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,West Godavari,,,,193358,1137,0,192193,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,Other States,,,,2461,0,0,2461,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
2022-03-30,AP,Other Countries,,,,434,0,0,434,,2022-03-30 23:55:31.763530,2022-03-30 23:55:31.764292,,,2319509,14730,2304465,0,33415605
