,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-03-31,AP,Foreign Evacuees,,,,,,,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
1,2022-03-31,AP,Anantapur,,,,177610,1105,176436,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
2,2022-03-31,AP,Chittoor,,,,272388,2000,270380,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
3,2022-03-31,AP,East Godavari,,,,316576,1298,315192,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
4,2022-03-31,AP,Guntur,,,,203244,1277,201961,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
5,2022-03-31,AP,Krishna,,,,136896,1496,135387,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
6,2022-03-31,AP,Kurnool,,,,144244,867,143377,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
7,2022-03-31,AP,Other State,,,,,,,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
8,2022-03-31,AP,Prakasam,,,,155936,1146,154786,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
9,2022-03-31,AP,S.P.S. Nellore,,,,164370,1090,163271,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
10,2022-03-31,AP,Srikakulam,,,,133951,798,133143,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
11,2022-03-31,AP,Visakhapatnam,,,,190935,1184,189730,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
12,2022-03-31,AP,Vizianagaram,,,,92240,680,91556,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
13,2022-03-31,AP,West Godavari,,,,193359,1137,192204,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
14,2022-03-31,AP,Y.S.R. Kadapa,,,,134888,652,134233,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
15,2022-03-31,AP,Unknown,,,,0,0,0,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
16,2022-03-31,AP,Other States,,,,2461,0,2461,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
17,2022-03-31,AP,Other Countries,,,,434,0,434,,2022-04-01 11:55:25.908904,,,,2319532,14730,2304551,33431971,0,0
