Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-04-08,MZ,122,1,102,0,2497,484,219,1298,824.0,3.0,1023.0,,7783.0,2139.0,584.0,Aizawl,,,,,1810,79,56,,,,,,4665.0,505.0,175.0,404054,,,,,,,,358217,292415,11532,0,2022-04-09 11:55:23.875712,1192000,,,,225458,688,223915,,853079,670059,27129,0,0.0,0.0
2022-04-08,MZ,122,1,102,0,2497,484,219,1298,824.0,3.0,1023.0,,7783.0,2139.0,584.0,Champhai,,,,,224,141,20,,,,,,870.0,334.0,36.0,125370,,,,,,,,87373,68797,2178,0,2022-04-09 11:55:23.875712,1192000,,,,225458,688,223915,,853079,670059,27129,0,0.0,0.0
2022-04-08,MZ,122,1,102,0,2497,484,219,1298,824.0,3.0,1023.0,,7783.0,2139.0,584.0,Hnahthial,,,,,0,0,0,,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-04-09 11:55:23.875712,1192000,,,,225458,688,223915,,853079,670059,27129,0,0.0,0.0
2022-04-08,MZ,122,1,102,0,2497,484,219,1298,824.0,3.0,1023.0,,7783.0,2139.0,584.0,Khawzawl,,,,,0,0,0,,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-04-09 11:55:23.875712,1192000,,,,225458,688,223915,,853079,670059,27129,0,0.0,0.0
2022-04-08,MZ,122,1,102,0,2497,484,219,1298,824.0,3.0,1023.0,,7783.0,2139.0,584.0,Kolasib,,,,,98,60,42,,,,,,263.0,289.0,103.0,83054,,,,,,,,59934,46007,2273,0,2022-04-09 11:55:23.875712,1192000,,,,225458,688,223915,,853079,670059,27129,0,0.0,0.0
2022-04-08,MZ,122,1,102,0,2497,484,219,1298,824.0,3.0,1023.0,,7783.0,2139.0,584.0,Lawngtlai,,,,,85,146,1,,,,,,171.0,330.0,7.0,117444,,,,,,,,87181,58209,1028,0,2022-04-09 11:55:23.875712,1192000,,,,225458,688,223915,,853079,670059,27129,0,0.0,0.0
2022-04-08,MZ,122,1,102,0,2497,484,219,1298,824.0,3.0,1023.0,,7783.0,2139.0,584.0,Lunglei,,,,,41,7,34,,,,,,596.0,194.0,117.0,154094,,,,,,,,114842,93978,4828,0,2022-04-09 11:55:23.875712,1192000,,,,225458,688,223915,,853079,670059,27129,0,0.0,0.0
2022-04-08,MZ,122,1,102,0,2497,484,219,1298,824.0,3.0,1023.0,,7783.0,2139.0,584.0,Mamit,,,,,121,33,0,,,,,,589.0,199.0,36.0,85757,,,,,,,,54957,40819,1991,0,2022-04-09 11:55:23.875712,1192000,,,,225458,688,223915,,853079,670059,27129,0,0.0,0.0
2022-04-08,MZ,122,1,102,0,2497,484,219,1298,824.0,3.0,1023.0,,7783.0,2139.0,584.0,Saiha,,,,,88,12,8,,,,,,399.0,221.0,34.0,56366,,,,,,,,42496,28549,861,0,2022-04-09 11:55:23.875712,1192000,,,,225458,688,223915,,853079,670059,27129,0,0.0,0.0
2022-04-08,MZ,122,1,102,0,2497,484,219,1298,824.0,3.0,1023.0,,7783.0,2139.0,584.0,Saitual,,,,,0,0,0,,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-04-09 11:55:23.875712,1192000,,,,225458,688,223915,,853079,670059,27129,0,0.0,0.0
2022-04-08,MZ,122,1,102,0,2497,484,219,1298,824.0,3.0,1023.0,,7783.0,2139.0,584.0,Serchhip,,,,,30,6,58,,,,,,230.0,67.0,76.0,64875,,,,,,,,48079,41285,2438,0,2022-04-09 11:55:23.875712,1192000,,,,225458,688,223915,,853079,670059,27129,0,0.0,0.0
2022-04-08,MZ,122,1,102,0,2497,484,219,1298,824.0,3.0,1023.0,,7783.0,2139.0,584.0,Unknown,122.0,1.0,102.0,,0,0,0,1298.0,824.0,3.0,1023.0,,0.0,0.0,0.0,0,,,,225458.0,688.0,223915.0,,0,0,0,0,2022-04-09 11:55:23.875712,1192000,,,,225458,688,223915,,853079,670059,27129,0,0.0,0.0
