Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-04-09,MH,132,6,135,27544,52284,58813,14318,1069,803.0,29.0,908.0,212723.0,349113.0,447106.0,86614.0,Ahmednagar,1,0,17,,1220,3545,325,94,58.0,0.0,80.0,,10202.0,28597.0,2732.0,4543083,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,377608,7242,370306,,3362312,2492741,55762,0,2022-04-10 10:48:05.508406,122153000,2022-04-10 10:48:05.509247,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7875080,147816,7726461,79666245,89770943,70850807,1921647,0,0.0,0.0
2022-04-09,MH,132,6,135,27544,52284,58813,14318,1069,803.0,29.0,908.0,212723.0,349113.0,447106.0,86614.0,Akola,5,0,0,,799,1009,93,5,6.0,0.0,0.0,,7211.0,8407.0,646.0,1818617,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,66174,1470,64698,,1210897,797942,16065,0,2022-04-10 10:48:05.508406,122153000,2022-04-10 10:48:05.509247,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7875080,147816,7726461,79666245,89770943,70850807,1921647,0,0.0,0.0
2022-04-09,MH,132,6,135,27544,52284,58813,14318,1069,803.0,29.0,908.0,212723.0,349113.0,447106.0,86614.0,Amravati,0,0,0,,943,1407,134,4,6.0,0.0,3.0,,10499.0,12395.0,1195.0,2887826,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,105942,1623,104313,,2042658,1421433,32775,0,2022-04-10 10:48:05.508406,122153000,2022-04-10 10:48:05.509247,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7875080,147816,7726461,79666245,89770943,70850807,1921647,0,0.0,0.0
2022-04-09,MH,132,6,135,27544,52284,58813,14318,1069,803.0,29.0,908.0,212723.0,349113.0,447106.0,86614.0,Aurangabad,1,0,3,,3027,5974,438,77,12.0,0.0,24.0,,17001.0,36953.0,2356.0,3695928,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,176510,4284,172219,,2940245,2145760,48183,0,2022-04-10 10:48:05.508406,122153000,2022-04-10 10:48:05.509247,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7875080,147816,7726461,79666245,89770943,70850807,1921647,0,0.0,0.0
2022-04-09,MH,132,6,135,27544,52284,58813,14318,1069,803.0,29.0,908.0,212723.0,349113.0,447106.0,86614.0,Beed,0,0,2,,985,643,83,15,13.0,0.0,18.0,,6277.0,7152.0,963.0,2585962,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,109151,2882,106258,,1826605,1235505,26187,0,2022-04-10 10:48:05.508406,122153000,2022-04-10 10:48:05.509247,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7875080,147816,7726461,79666245,89770943,70850807,1921647,0,0.0,0.0
2022-04-09,MH,132,6,135,27544,52284,58813,14318,1069,803.0,29.0,908.0,212723.0,349113.0,447106.0,86614.0,Bhandara,0,0,0,,38,131,72,3,0.0,0.0,0.0,,2858.0,1412.0,1450.0,1198810,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,67941,1142,66799,,984950,843318,18535,0,2022-04-10 10:48:05.508406,122153000,2022-04-10 10:48:05.509247,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7875080,147816,7726461,79666245,89770943,70850807,1921647,0,0.0,0.0
2022-04-09,MH,132,6,135,27544,52284,58813,14318,1069,803.0,29.0,908.0,212723.0,349113.0,447106.0,86614.0,Buldhana,0,0,0,,658,570,68,34,30.0,1.0,29.0,,9521.0,6984.0,579.0,2588039,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,92005,833,91171,,1791421,1214626,14922,0,2022-04-10 10:48:05.508406,122153000,2022-04-10 10:48:05.509247,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7875080,147816,7726461,79666245,89770943,70850807,1921647,0,0.0,0.0
2022-04-09,MH,132,6,135,27544,52284,58813,14318,1069,803.0,29.0,908.0,212723.0,349113.0,447106.0,86614.0,Chandrapur,1,0,0,,1542,1077,99,3,1.0,0.0,2.0,,11757.0,8113.0,587.0,2194262,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,98819,1592,97226,,1692550,1364956,21841,0,2022-04-10 10:48:05.508406,122153000,2022-04-10 10:48:05.509247,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7875080,147816,7726461,79666245,89770943,70850807,1921647,0,0.0,0.0
2022-04-09,MH,132,6,135,27544,52284,58813,14318,1069,803.0,29.0,908.0,212723.0,349113.0,447106.0,86614.0,Dhule,1,0,0,,277,313,112,9,4.0,0.0,4.0,,6335.0,4815.0,1352.0,2048781,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,50726,670,50051,,1470347,1162318,23690,0,2022-04-10 10:48:05.508406,122153000,2022-04-10 10:48:05.509247,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7875080,147816,7726461,79666245,89770943,70850807,1921647,0,0.0,0.0
2022-04-09,MH,132,6,135,27544,52284,58813,14318,1069,803.0,29.0,908.0,212723.0,349113.0,447106.0,86614.0,Gadchiroli,1,0,0,,269,247,24,7,2.0,0.0,6.0,,2935.0,4663.0,236.0,1071795,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,36972,725,36245,,811420,610092,6102,0,2022-04-10 10:48:05.508406,122153000,2022-04-10 10:48:05.509247,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7875080,147816,7726461,79666245,89770943,70850807,1921647,0,0.0,0.0
