,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-04-16,KA,Bagalkote,,,,40682,367,40314,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
1,2022-04-16,KA,Ballari,,,,115518,1763,113737,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,2
2,2022-04-16,KA,Belagavi,,,,100141,1001,99128,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,2
3,2022-04-16,KA,Bengaluru Rural,,,,79281,907,78365,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
4,2022-04-16,KA,Bengaluru Urban,,,,,,,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
5,2022-04-16,KA,Bidar,,,,29807,420,29383,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,4
6,2022-04-16,KA,Chamarajanagara,,,,43618,524,43082,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,11
7,2022-04-16,KA,Chikkaballapura,,,,55626,460,55164,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,1
8,2022-04-16,KA,Chikkamagaluru,,,,57246,406,56839,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
9,2022-04-16,KA,Chitradurga,,,,46346,239,46106,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
10,2022-04-16,KA,Dakshina Kannada,,,,135498,1840,133645,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,10
11,2022-04-16,KA,Davanagere,,,,57539,623,56916,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
12,2022-04-16,KA,Dharwad,,,,84082,1384,82686,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,7
13,2022-04-16,KA,Gadag,,,,30584,336,30248,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
14,2022-04-16,KA,Hassan,,,,143859,1307,142550,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,2
15,2022-04-16,KA,Haveri,,,,26839,669,26170,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
16,2022-04-16,KA,Kalaburagi,,,,76606,880,75723,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
17,2022-04-16,KA,Kodagu,,,,49264,352,48911,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,1
18,2022-04-16,KA,Kolar,,,,63000,664,62335,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
19,2022-04-16,KA,Koppal,,,,41281,538,40743,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
20,2022-04-16,KA,Mandya,,,,,,,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
21,2022-04-16,KA,Mysuru,,,,,,,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
22,2022-04-16,KA,Other State,,,,36,3,33,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
23,2022-04-16,KA,Raichur,,,,45448,364,45084,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
24,2022-04-16,KA,Ramanagara,,,,29807,347,29460,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
25,2022-04-16,KA,Shivamogga,,,,83324,1128,82183,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,1
26,2022-04-16,KA,Tumakuru,,,,159842,1218,158623,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
27,2022-04-16,KA,Udupi,,,,95606,546,95060,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
28,2022-04-16,KA,Uttara Kannada,,,,71164,809,70355,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
29,2022-04-16,KA,Vijayapura,,,,40997,519,40478,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
30,2022-04-16,KA,Yadgir,,,,29965,212,29752,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,0
31,2022-04-16,KA,Unknown,,,,0.0,0.0,0.0,,2022-04-17 11:55:32.407345,,,,3946315,40057,3904775,65748719,42.0,-42
