,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-04-19,PB,Amritsar,,,,59401,1682,57715,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
1,2022-04-19,PB,Barnala,,,,7499,349,7149,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
2,2022-04-19,PB,Bathinda,,,,50879,1088,49789,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
3,2022-04-19,PB,Faridkot,,,,16787,338,16449,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
4,2022-04-19,PB,Fatehgarh Sahib,,,,11835,354,11480,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
5,2022-04-19,PB,Fazilka,,,,23400,545,22855,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
6,2022-04-19,PB,Ferozepur,,,,17902,537,17365,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
7,2022-04-19,PB,Gurdaspur,,,,26945,865,26078,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
8,2022-04-19,PB,Hoshiarpur,,,,40851,1096,39748,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
9,2022-04-19,PB,Jalandhar,,,,78306,1578,76717,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
10,2022-04-19,PB,Kapurthala,,,,22045,579,21465,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
11,2022-04-19,PB,Ludhiana,,,,109807,2279,107517,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
12,2022-04-19,PB,Mansa,,,,17229,392,16836,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
13,2022-04-19,PB,Moga,,,,10987,254,10733,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
14,2022-04-19,PB,Pathankot,,,,24542,495,24046,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
15,2022-04-19,PB,Patiala,,,,62044,1458,60584,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
16,2022-04-19,PB,Rupnagar,,,,17940,455,17484,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
17,2022-04-19,PB,S.A.S. Nagar,,,,95718,1148,94562,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
18,2022-04-19,PB,Sangrur,,,,14308,735,13573,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
19,2022-04-19,PB,Shahid Bhagat Singh Nagar,,,,13408,407,12997,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
20,2022-04-19,PB,Sri Muktsar Sahib,,,,22556,539,22017,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
21,2022-04-19,PB,Tarn Taran,,,,10899,394,10505,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
22,2022-04-19,PB,Unknown,,,,49,0,16,,2022-04-20 11:36:38.414688,,,,759304,17743,741471,19140811,0,0
