,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10034,9905,129,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,687126,340380,329714,17032,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,153,1108,324,1585,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2319653,2304888,14730,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,92799377,44547992,46272170,1979215,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,4958,121919,11296,138173,1,1,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,64495,64199,296,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,1678746,902958,747788,28000,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,339,860,268,1467,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,724204,716212,6639,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,44472435,23839535,20293349,339551,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,5015,7605,6161,18781,0,0,0,,,1332900000,Assam,34293000
4,Bihar,830514,818242,12256,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,127617330,69610757,56994091,1012482,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,38259,67834,11554,117647,2,1,0,,,1332900000,Bihar,119520000
5,Chandigarh,91976,90789,1165,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,2102057,1147397,920272,34388,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,670,1152,568,2390,6,3,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1152228,1138183,14034,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,38701639,20493234,17745600,462805,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,12378,13624,1782,27784,3,3,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11441,11437,4,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,1394874,774156,610530,10188,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,43,242,97,382,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1871657,1842525,26162,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,33068390,17909256,14546200,612934,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,6401,26108,14741,47250,965,635,1,,,1332900000,Delhi,19814000
9,Goa,245376,241520,3832,2022-04-22,TT,43052425,522116,42516068,2022-04-22 12:05:16.814763,833825991,2022-04-21 00:00:00,448939,1871640320,999343684,847451998,24844638,2714363,1426965,1249186,38212,https://www.icmr.gov.in/,2451,54,1589,208868,1264579,482769,1956216,321,2090,1158,3569,4,3,0,,,1332900000,Goa,1540000
