,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-04-22,KL,Other State,,,,,,,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
1,2022-04-22,KL,Alappuzha,,,,390223,5210,387479,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
2,2022-04-22,KL,Ernakulam,,,,885180,8164,871804,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
3,2022-04-22,KL,Idukki,,,,208971,1481,206007,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
4,2022-04-22,KL,Kannur,,,,348846,4384,344894,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
5,2022-04-22,KL,Kasaragod,,,,166535,1379,162907,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
6,2022-04-22,KL,Kollam,,,,510752,6405,506576,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
7,2022-04-22,KL,Kottayam,,,,448615,4470,444958,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
8,2022-04-22,KL,Kozhikode,,,,672645,6235,669411,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
9,2022-04-22,KL,Malappuram,,,,646927,6164,642754,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
10,2022-04-22,KL,Palakkad,,,,449665,5696,440873,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
11,2022-04-22,KL,Pathanamthitta,,,,266860,2501,261365,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
12,2022-04-22,KL,Thiruvananthapuram,,,,706264,8362,698178,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
13,2022-04-22,KL,Thrissur,,,,669283,7402,664244,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
14,2022-04-22,KL,Wayanad,,,,168279,958,166234,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
15,2022-04-22,KL,Unknown,,,,-194,-30,-227,,2022-04-23 11:55:24.847173,,,,6538851,68781,6467457,47014417,0,0
