Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Airport Quarantine,,,,,0,0,0,,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Baksa,,,,,115,127,16,,,,,,1023.0,739.0,113.0,953773,,,,,,,,670757,540466,3789,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Barpeta,,,,,556,216,7,,,,,,6297.0,1056.0,225.0,1693190,,,,,,,,1278266,1192376,17363,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Biswanath,,,,,382,393,165,,,,,,1308.0,2774.0,1104.0,612491,,,,,,,,547902,416456,5383,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Bongaigaon,,,,,528,476,43,,,,,,3590.0,886.0,408.0,732639,,,,,,,,570380,491152,8076,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Cachar,,,,,233,190,322,,,,,,1302.0,1200.0,2047.0,1736319,,,,,,,,1269841,1270551,18528,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Charaideo,,,,,268,198,29,,,,,,1163.0,860.0,361.0,0,,,,,,,,362852,277842,3425,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Chirang,,,,,88,35,33,,,,,,346.0,375.0,179.0,481818,,,,,,,,337665,260906,4219,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Darrang,,,,,30,190,41,,,,,,752.0,903.0,480.0,908090,,,,,,,,697190,570659,7849,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Dhemaji,,,,,1252,676,22,,,,,,2473.0,2492.0,261.0,688077,,,,,,,,517160,409268,3396,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Dhubri,,,,,169,236,71,,,,,,1448.0,2374.0,742.0,1948632,,,,,,,,1116070,977480,12449,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Dibrugarh,,,,,383,792,433,,,,,,1918.0,3173.0,2720.0,1327748,,,,,,,,1066233,909536,22718,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Dima Hasao,,,,,21,48,26,,,,,,278.0,300.0,251.0,213529,,,,,,,,152119,113526,3712,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Goalpara,,,,,333,127,60,,,,,,2502.0,954.0,352.0,1008959,,,,,,,,775905,650944,5985,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Golaghat,,,,,228,488,102,,,,,,1003.0,1989.0,762.0,1058674,,,,,,,,853363,694539,9284,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Hailakandi,,,,,69,164,83,,,,,,1360.0,951.0,557.0,659260,,,,,,,,486100,392149,5249,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Hojai,,,,,616,195,139,,,,,,3180.0,1043.0,637.0,931218,,,,,,,,702015,616915,8839,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Jorhat,,,,,317,886,475,,,,,,1424.0,3236.0,2406.0,1091295,,,,,,,,779343,655557,19554,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Kamrup,,,,,837,277,187,,,,,,3286.0,2029.0,1273.0,1517202,,,,,,,,1285903,1108087,18057,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Kamrup Metropolitan,,,,,349,835,1097,,,,,,2812.0,3832.0,6473.0,1260419,,,,,,,,1429490,1323309,56930,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Karbi Anglong,,,,,122,70,12,,,,,,1284.0,329.0,207.0,965280,,,,,,,,443245,412224,6134,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Karimganj,,,,,236,240,140,,,,,,1533.0,1356.0,736.0,1217002,,,,,,,,794979,715255,10533,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Kokrajhar,,,,,215,167,73,,,,,,808.0,1205.0,361.0,886999,,,,,,,,618260,466601,6901,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Lakhimpur,,,,,564,468,246,,,,,,1991.0,2990.0,2836.0,1040644,,,,,,,,817155,738100,9248,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Majuli,,,,,0,0,6,,,,,,32.0,126.0,180.0,167304,,,,,,,,145768,136139,4245,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Morigaon,,,,,491,518,22,,,,,,2152.0,3367.0,297.0,957853,,,,,,,,714933,553475,5158,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Nagaon,,,,,503,403,273,,,,,,3797.0,3079.0,1709.0,2826006,,,,,,,,1386034,1137487,18047,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Nalbari,,,,,325,76,52,,,,,,2495.0,556.0,636.0,769919,,,,,,,,565882,477569,6727,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
2022-04-23,AS,1,0,0,0,10536,10543,4584,1,5.0,0.0,2.0,,60772.0,52794.0,31401.0,Other State,,,,,0,0,0,,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-04-24 11:55:24.655209,34293000,,,,724205,6639,716212,,23866698,20315456,350246,1347,0.0,0.0
