,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-04-28,AR,Anjaw,,,,1139,3,1136,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
1,2022-04-28,AR,Changlang,,,,4256,22,4234,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
2,2022-04-28,AR,Upper Dibang Valley,,,,414,2,412,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
3,2022-04-28,AR,East Kameng,,,,1215,0,1215,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
4,2022-04-28,AR,East Siang,,,,3678,18,3660,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
5,2022-04-28,AR,Kamle,,,,585,0,585,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
6,2022-04-28,AR,Kra Daadi,,,,270,0,270,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
7,2022-04-28,AR,Kurung Kumey,,,,526,1,525,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
8,2022-04-28,AR,Lepa Rada,,,,1029,3,1026,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
9,2022-04-28,AR,Lohit,,,,3413,29,3384,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
10,2022-04-28,AR,Longding,,,,935,2,933,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
11,2022-04-28,AR,Lower Dibang Valley,,,,2845,13,2832,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
12,2022-04-28,AR,Lower Siang,,,,833,8,825,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
13,2022-04-28,AR,Lower Subansiri,,,,3605,15,3590,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
14,2022-04-28,AR,Namsai,,,,2738,17,2721,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
15,2022-04-28,AR,Pakke Kessang,,,,498,0,498,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
16,2022-04-28,AR,Papum Pare,,,,22068,105,21963,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
17,2022-04-28,AR,Shi Yomi,,,,306,0,306,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
18,2022-04-28,AR,Siang,,,,441,3,438,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
19,2022-04-28,AR,Tawang,,,,2927,21,2906,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
20,2022-04-28,AR,Tirap,,,,1261,5,1256,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
21,2022-04-28,AR,Upper Siang,,,,1180,1,1179,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
22,2022-04-28,AR,Upper Subansiri,,,,2023,7,2016,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
23,2022-04-28,AR,West Kameng,,,,4278,15,4263,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
24,2022-04-28,AR,West Siang,,,,2032,6,2026,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
25,2022-04-28,AR,Unknown,,,,0,0,0,,2022-04-29 11:55:26.394732,,,,64495,296,64199,1259879,0,0
