,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316704,14730,2304933,33535691
1,Anakapalli,2,0,0,0,2316704,14730,2304933,33535691
2,Anantapur,177612,0,0,0,2316704,14730,2304933,33535691
3,Annamayya,0,0,0,0,2316704,14730,2304933,33535691
4,Bapatla,1,0,0,0,2316704,14730,2304933,33535691
5,Chittoor,272394,0,0,0,2316704,14730,2304933,33535691
6,East Godavari,316586,0,0,0,2316704,14730,2304933,33535691
7,Eluru,2,0,0,0,2316704,14730,2304933,33535691
8,Guntur,203244,0,0,0,2316704,14730,2304933,33535691
9,Kakinada,0,0,0,0,2316704,14730,2304933,33535691
10,Konaseema,0,0,0,0,2316704,14730,2304933,33535691
11,Krishna,136897,0,0,0,2316704,14730,2304933,33535691
12,Kurnool,144244,0,0,0,2316704,14730,2304933,33535691
13,Nandyal,0,0,0,0,2316704,14730,2304933,33535691
14,NTR District,3,0,0,0,2316704,14730,2304933,33535691
15,Palnadu,0,0,0,0,2316704,14730,2304933,33535691
16,Parvathipuram Manyam,0,0,0,0,2316704,14730,2304933,33535691
17,Prakasam,155939,0,0,0,2316704,14730,2304933,33535691
18,S.P.S. Nellore,164375,0,0,0,2316704,14730,2304933,33535691
19,Sri Sathya Sai,0,0,0,0,2316704,14730,2304933,33535691
20,Srikakulam,133952,0,0,0,2316704,14730,2304933,33535691
21,Tirupati,1,0,0,0,2316704,14730,2304933,33535691
22,Visakhapatnam,190945,0,0,0,2316704,14730,2304933,33535691
23,Vizianagaram,92241,0,0,0,2316704,14730,2304933,33535691
24,West Godavari,193378,0,0,0,2316704,14730,2304933,33535691
25,Y.S.R. Kadapa,134888,0,0,0,2316704,14730,2304933,33535691
