Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2022-04-30,PB,30,0,19,,16234,47889,4998,0,0,0,0,0,0,0,0,Ludhiana,5,0,2,,2687,5389,702,0,0,0,0,0,0,0,0,3487882,,,,109861,2280,107558,,3303481,2346878,59323,0,2022-05-06T17:07:51.559893+05:30,29859000,,,,759595,17748,741655,*19265353,23553441,18178903,543036,0,42275380.0,69121.0,5709682.0,0
2022-04-30,PB,30,0,19,,16234,47889,4998,0,0,0,0,0,0,0,0,S.A.S. Nagar,9,0,3,,1601,1169,452,0,0,0,0,0,0,0,0,986147,,,,95792,1148,94590,,1141052,849450,30402,0,2022-05-06T17:07:51.559893+05:30,29859000,,,,759595,17748,741655,*19265353,23553441,18178903,543036,0,42275380.0,69121.0,2020904.0,0
2022-04-30,PB,30,0,19,,16234,47889,4998,0,0,0,0,0,0,0,0,Jalandhar,3,0,2,,1403,4597,471,0,0,0,0,0,0,0,0,2181753,,,,78342,1578,76741,,1924573,1678455,83591,0,2022-05-06T17:07:51.559893+05:30,29859000,,,,759595,17748,741655,*19265353,23553441,18178903,543036,0,42275380.0,69121.0,3686619.0,0
2022-04-30,PB,30,0,19,,16234,47889,4998,0,0,0,0,0,0,0,0,Patiala,3,0,4,,1808,2434,829,0,0,0,0,0,0,0,0,2892282,,,,62079,1458,60602,,1480796,1111230,28234,0,2022-05-06T17:07:51.559893+05:30,29859000,,,,759595,17748,741655,*19265353,23553441,18178903,543036,0,42275380.0,69121.0,2620260.0,0
2022-04-30,PB,30,0,19,,16234,47889,4998,0,0,0,0,0,0,0,0,Amritsar,2,0,4,,706,2184,359,0,0,0,0,0,0,0,0,2490891,,,,59415,1682,57726,,2032788,1543694,47151,0,2022-05-06T17:07:51.559893+05:30,29859000,,,,759595,17748,741655,*19265353,23553441,18178903,543036,0,42275380.0,69121.0,3623633.0,0
2022-04-30,PB,30,0,19,,16234,47889,4998,0,0,0,0,0,0,0,0,Bathinda,0,0,0,,449,1311,199,0,0,0,0,0,0,0,0,1388859,,,,50888,1088,49792,,1158300,728435,17324,0,2022-05-06T17:07:51.559893+05:30,29859000,,,,759595,17748,741655,*19265353,23553441,18178903,543036,0,42275380.0,69121.0,1904059.0,0
2022-04-30,PB,30,0,19,,16234,47889,4998,0,0,0,0,0,0,0,0,Hoshiarpur,0,0,0,,1549,2159,540,0,0,0,0,0,0,0,0,1582793,,,,40884,1096,39778,,1251710,1127531,38856,0,2022-05-06T17:07:51.559893+05:30,29859000,,,,759595,17748,741655,*19265353,23553441,18178903,543036,0,42275380.0,69121.0,2418097.0,0
2022-04-30,PB,30,0,19,,16234,47889,4998,0,0,0,0,0,0,0,0,Gurdaspur,0,0,0,,298,4066,186,0,0,0,0,0,0,0,0,2299026,,,,26949,865,26083,,1436472,1265047,42164,0,2022-05-06T17:07:51.559893+05:30,29859000,,,,759595,17748,741655,*19265353,23553441,18178903,543036,0,42275380.0,69121.0,2743683.0,0
2022-04-30,PB,30,0,19,,16234,47889,4998,0,0,0,0,0,0,0,0,Pathankot,4,0,3,,122,726,144,0,0,0,0,0,0,0,0,626154,,,,24561,495,24056,,555588,451374,47737,0,2022-05-06T17:07:51.559893+05:30,29859000,,,,759595,17748,741655,*19265353,23553441,18178903,543036,0,42275380.0,69121.0,1054699.0,0
2022-04-30,PB,30,0,19,,16234,47889,4998,0,0,0,0,0,0,0,0,Fazilka,2,0,1,,465,2893,70,0,0,0,0,0,0,0,0,1180483,,,,23408,545,22856,,848974,611694,11019,0,2022-05-06T17:07:51.559893+05:30,29859000,,,,759595,17748,741655,*19265353,23553441,18178903,543036,0,42275380.0,69121.0,1471687.0,0
