Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-05-03,MP,26,0,13,0,1186,5010,1072,48,204.0,0.0,76.0,,84661.0,320140.0,23115.0,Agar Malwa,,,,,13,8,0,,,,,,567.0,2207.0,82.0,0,,,,,,,,498226,473794,5305,0,2022-05-04 11:27:23.859775,82232000,,,,1041540,10735,1030602,,60270630,56514196,1062843,0,0.0,0.0
2022-05-03,MP,26,0,13,0,1186,5010,1072,48,204.0,0.0,76.0,,84661.0,320140.0,23115.0,Alirajpur,,,,,0,24,0,,,,,,2015.0,10114.0,259.0,728677,,,,,,,,521607,484722,8203,0,2022-05-04 11:27:23.859775,82232000,,,,1041540,10735,1030602,,60270630,56514196,1062843,0,0.0,0.0
2022-05-03,MP,26,0,13,0,1186,5010,1072,48,204.0,0.0,76.0,,84661.0,320140.0,23115.0,Anuppur,,,,,0,99,0,,,,,,711.0,7200.0,30.0,749521,,,,,,,,597721,544767,5517,0,2022-05-04 11:27:23.859775,82232000,,,,1041540,10735,1030602,,60270630,56514196,1062843,0,0.0,0.0
2022-05-03,MP,26,0,13,0,1186,5010,1072,48,204.0,0.0,76.0,,84661.0,320140.0,23115.0,Ashoknagar,,,,,1,6,10,,,,,,1300.0,4981.0,90.0,844979,,,,,,,,665978,627659,10656,0,2022-05-04 11:27:23.859775,82232000,,,,1041540,10735,1030602,,60270630,56514196,1062843,0,0.0,0.0
2022-05-03,MP,26,0,13,0,1186,5010,1072,48,204.0,0.0,76.0,,84661.0,320140.0,23115.0,Balaghat,,,,,0,95,0,,,,,,1336.0,11028.0,119.0,1701156,,,,,,,,1527983,1485192,23094,0,2022-05-04 11:27:23.859775,82232000,,,,1041540,10735,1030602,,60270630,56514196,1062843,0,0.0,0.0
2022-05-03,MP,26,0,13,0,1186,5010,1072,48,204.0,0.0,76.0,,84661.0,320140.0,23115.0,Barwani,,,,,24,110,6,,,,,,570.0,2469.0,114.0,1385659,,,,,,,,964018,870296,13265,0,2022-05-04 11:27:23.859775,82232000,,,,1041540,10735,1030602,,60270630,56514196,1062843,0,0.0,0.0
2022-05-03,MP,26,0,13,0,1186,5010,1072,48,204.0,0.0,76.0,,84661.0,320140.0,23115.0,Betul,,,,,9,29,9,,,,,,803.0,2620.0,272.0,1575247,,,,,,,,1250976,1166369,18961,0,2022-05-04 11:27:23.859775,82232000,,,,1041540,10735,1030602,,60270630,56514196,1062843,0,0.0,0.0
2022-05-03,MP,26,0,13,0,1186,5010,1072,48,204.0,0.0,76.0,,84661.0,320140.0,23115.0,Bhind,,,,,41,1030,1,,,,,,1046.0,8816.0,101.0,1703562,,,,,,,,1309891,1210870,13774,0,2022-05-04 11:27:23.859775,82232000,,,,1041540,10735,1030602,,60270630,56514196,1062843,0,0.0,0.0
2022-05-03,MP,26,0,13,0,1186,5010,1072,48,204.0,0.0,76.0,,84661.0,320140.0,23115.0,Bhopal,,,,,5,37,143,,,,,,1796.0,8974.0,2970.0,2368145,,,,,,,,2351627,2144580,90437,0,2022-05-04 11:27:23.859775,82232000,,,,1041540,10735,1030602,,60270630,56514196,1062843,0,0.0,0.0
2022-05-03,MP,26,0,13,0,1186,5010,1072,48,204.0,0.0,76.0,,84661.0,320140.0,23115.0,Burhanpur,,,,,5,10,0,,,,,,2319.0,5224.0,197.0,756993,,,,,,,,623673,607644,14228,0,2022-05-04 11:27:23.859775,82232000,,,,1041540,10735,1030602,,60270630,56514196,1062843,0,0.0,0.0
