Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2022-05-22,RJ,60.0,0.0,58.0,,1613,8156,2405,0,0,0,0,0,0,0,0,Ajmer,3.0,0.0,0.0,,9.0,104.0,122.0,0,0,0,0,0,0,0,0,2584913,,,,49761.0,447.0,49296.0,,2153315,1946144,106962,,2022-05-23T11:45:48.309037+05:30,77264000,,,,1285173.0,9554.0,1275139.0,19809605.0,56344164,47924967,1828790,,106097921.0,12174.0,4206421.0,0
0,RJ,,,,,1613,8156,2405,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,77264000,,,,,,,,56344164,47924967,1828790,,106097921.0,12174.0,,0
2022-05-22,RJ,60.0,0.0,58.0,,1613,8156,2405,0,0,0,0,0,0,0,0,Alwar,4.0,0.0,8.0,,24.0,736.0,68.0,0,0,0,0,0,0,0,0,3671999,,,,84609.0,320.0,84237.0,,3142460,2894274,93740,,2022-05-23T11:45:48.309037+05:30,77264000,,,,1285173.0,9554.0,1275139.0,19809605.0,56344164,47924967,1828790,,106097921.0,12174.0,6130474.0,0
0,RJ,,,,,1613,8156,2405,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,77264000,,,,,,,,56344164,47924967,1828790,,106097921.0,12174.0,,0
2022-05-22,RJ,60.0,0.0,58.0,,1613,8156,2405,0,0,0,0,0,0,0,0,Banswara,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1798194,,,,14765.0,106.0,14659.0,,1410670,1205433,49863,,2022-05-23T11:45:48.309037+05:30,77264000,,,,1285173.0,9554.0,1275139.0,19809605.0,56344164,47924967,1828790,,106097921.0,12174.0,2665966.0,0
0,RJ,,,,,1613,8156,2405,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,77264000,,,,,,,,56344164,47924967,1828790,,106097921.0,12174.0,,0
2022-05-22,RJ,60.0,0.0,58.0,,1613,8156,2405,0,0,0,0,0,0,0,0,Baran,11.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1223921,,,,15281.0,64.0,15187.0,,1020136,907517,28953,,2022-05-23T11:45:48.309037+05:30,77264000,,,,1285173.0,9554.0,1275139.0,19809605.0,56344164,47924967,1828790,,106097921.0,12174.0,1956606.0,0
0,RJ,,,,,1613,8156,2405,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,77264000,,,,,,,,56344164,47924967,1828790,,106097921.0,12174.0,,0
2022-05-22,RJ,60.0,0.0,58.0,,1613,8156,2405,0,0,0,0,0,0,0,0,Barmer,0.0,0.0,0.0,,38.0,165.0,34.0,0,0,0,0,0,0,0,0,2604453,,,,21454.0,205.0,21249.0,,1974149,1613118,47231,,2022-05-23T11:45:48.309037+05:30,77264000,,,,1285173.0,9554.0,1275139.0,19809605.0,56344164,47924967,1828790,,106097921.0,12174.0,3634498.0,0
0,RJ,,,,,1613,8156,2405,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,77264000,,,,,,,,56344164,47924967,1828790,,106097921.0,12174.0,,0
2022-05-22,RJ,60.0,0.0,58.0,,1613,8156,2405,0,0,0,0,0,0,0,0,Bharatpur,0.0,0.0,0.0,,2.0,56.0,5.0,0,0,0,0,0,0,0,0,2549121,,,,31451.0,272.0,31179.0,,1933596,1529154,32609,,2022-05-23T11:45:48.309037+05:30,77264000,,,,1285173.0,9554.0,1275139.0,19809605.0,56344164,47924967,1828790,,106097921.0,12174.0,3495359.0,0
0,RJ,,,,,1613,8156,2405,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,77264000,,,,,,,,56344164,47924967,1828790,,106097921.0,12174.0,,0
2022-05-22,RJ,60.0,0.0,58.0,,1613,8156,2405,0,0,0,0,0,0,0,0,Bhilwara,0.0,0.0,0.0,,0.0,138.0,2.0,0,0,0,0,0,0,0,0,2410459,,,,38182.0,162.0,38019.0,,1965950,1704605,59433,,2022-05-23T11:45:48.309037+05:30,77264000,,,,1285173.0,9554.0,1275139.0,19809605.0,56344164,47924967,1828790,,106097921.0,12174.0,3729988.0,0
0,RJ,,,,,1613,8156,2405,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,77264000,,,,,,,,56344164,47924967,1828790,,106097921.0,12174.0,,0
2022-05-22,RJ,60.0,0.0,58.0,,1613,8156,2405,0,0,0,0,0,0,0,0,Bikaner,3.0,0.0,1.0,,34.0,47.0,91.0,0,0,0,0,0,0,0,0,2367745,,,,49933.0,586.0,49330.0,,1882706,1685024,69114,,2022-05-23T11:45:48.309037+05:30,77264000,,,,1285173.0,9554.0,1275139.0,19809605.0,56344164,47924967,1828790,,106097921.0,12174.0,3636844.0,0
0,RJ,,,,,1613,8156,2405,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,77264000,,,,,,,,56344164,47924967,1828790,,106097921.0,12174.0,,0
2022-05-22,RJ,60.0,0.0,58.0,,1613,8156,2405,0,0,0,0,0,0,0,0,Bundi,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1113725,,,,9715.0,55.0,9660.0,,990411,975526,41839,,2022-05-23T11:45:48.309037+05:30,77264000,,,,1285173.0,9554.0,1275139.0,19809605.0,56344164,47924967,1828790,,106097921.0,12174.0,2007776.0,0
0,RJ,,,,,1613,8156,2405,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,77264000,,,,,,,,56344164,47924967,1828790,,106097921.0,12174.0,,0
2022-05-22,RJ,60.0,0.0,58.0,,1613,8156,2405,0,0,0,0,0,0,0,0,Chittorgarh,0.0,0.0,0.0,,0.0,40.0,0.0,0,0,0,0,0,0,0,0,1544392,,,,29383.0,140.0,29237.0,,1296721,1205704,37017,,2022-05-23T11:45:48.309037+05:30,77264000,,,,1285173.0,9554.0,1275139.0,19809605.0,56344164,47924967,1828790,,106097921.0,12174.0,2539442.0,0
0,RJ,,,,,1613,8156,2405,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,77264000,,,,,,,,56344164,47924967,1828790,,106097921.0,12174.0,,0
2022-05-22,RJ,60.0,0.0,58.0,,1613,8156,2405,0,0,0,0,0,0,0,0,Churu,0.0,0.0,3.0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2041172,,,,20833.0,114.0,20717.0,,1658869,1431773,44020,,2022-05-23T11:45:48.309037+05:30,77264000,,,,1285173.0,9554.0,1275139.0,19809605.0,56344164,47924967,1828790,,106097921.0,12174.0,3134662.0,0
0,RJ,,,,,1613,8156,2405,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,77264000,,,,,,,,56344164,47924967,1828790,,106097921.0,12174.0,,0
2022-05-22,RJ,60.0,0.0,58.0,,1613,8156,2405,0,0,0,0,0,0,0,0,Dausa,2.0,0.0,1.0,,0.0,3.0,0.0,0,0,0,0,0,0,0,0,1637226,,,,15812.0,80.0,15713.0,,1384854,1108346,25149,,2022-05-23T11:45:48.309037+05:30,77264000,,,,1285173.0,9554.0,1275139.0,19809605.0,56344164,47924967,1828790,,106097921.0,12174.0,2518349.0,0
0,RJ,,,,,1613,8156,2405,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,77264000,,,,,,,,56344164,47924967,1828790,,106097921.0,12174.0,,0
