Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-06-01,ML,0,0,0,0,760,1005,446,8,4.0,0.0,2.0,,5286.0,6260.0,2216.0,East Garo Hills,0.0,0.0,0.0,,30,96,7,0,0.0,0.0,0.0,,337.0,578.0,46.0,317618,,,,2049.0,17.0,2032.0,,73300,46505,1128,0,2022-06-02 11:55:24.792190,3224000,,,,93826,1593,92229,,1416423,1046598,44023,0,0.0,0.0
2022-06-01,ML,0,0,0,0,760,1005,446,8,4.0,0.0,2.0,,5286.0,6260.0,2216.0,East Jaintia Hills,0.0,0.0,0.0,,12,35,235,0,0.0,0.0,0.0,,528.0,421.0,885.0,122436,,,,2626.0,38.0,2587.0,,76754,59063,2596,0,2022-06-02 11:55:24.792190,3224000,,,,93826,1593,92229,,1416423,1046598,44023,0,0.0,0.0
2022-06-01,ML,0,0,0,0,760,1005,446,8,4.0,0.0,2.0,,5286.0,6260.0,2216.0,East Khasi Hills,0.0,0.0,0.0,,69,112,62,6,0.0,0.0,0.0,,894.0,1547.0,543.0,824059,,,,47093.0,1075.0,46004.0,,384771,322607,22586,0,2022-06-02 11:55:24.792190,3224000,,,,93826,1593,92229,,1416423,1046598,44023,0,0.0,0.0
2022-06-01,ML,0,0,0,0,760,1005,446,8,4.0,0.0,2.0,,5286.0,6260.0,2216.0,North Garo Hills,0.0,0.0,0.0,,27,49,4,0,0.0,0.0,0.0,,190.0,267.0,23.0,118325,,,,1881.0,9.0,1872.0,,82248,55106,1123,0,2022-06-02 11:55:24.792190,3224000,,,,93826,1593,92229,,1416423,1046598,44023,0,0.0,0.0
2022-06-01,ML,0,0,0,0,760,1005,446,8,4.0,0.0,2.0,,5286.0,6260.0,2216.0,Ribhoi,,,,,6,16,1,0,,,,,378.0,257.0,62.0,258380,,,,,,,,128375,88013,2105,0,2022-06-02 11:55:24.792190,3224000,,,,93826,1593,92229,,1416423,1046598,44023,0,0.0,0.0
2022-06-01,ML,0,0,0,0,760,1005,446,8,4.0,0.0,2.0,,5286.0,6260.0,2216.0,South Garo Hills,0.0,0.0,0.0,,4,8,0,0,0.0,0.0,0.0,,138.0,79.0,23.0,142574,,,,1343.0,13.0,1330.0,,55937,35654,1511,0,2022-06-02 11:55:24.792190,3224000,,,,93826,1593,92229,,1416423,1046598,44023,0,0.0,0.0
2022-06-01,ML,0,0,0,0,760,1005,446,8,4.0,0.0,2.0,,5286.0,6260.0,2216.0,South West Garo Hills,0.0,0.0,0.0,,48,148,27,0,0.0,0.0,0.0,,251.0,619.0,131.0,172495,,,,2094.0,20.0,2074.0,,101592,70139,1980,0,2022-06-02 11:55:24.792190,3224000,,,,93826,1593,92229,,1416423,1046598,44023,0,0.0,0.0
2022-06-01,ML,0,0,0,0,760,1005,446,8,4.0,0.0,2.0,,5286.0,6260.0,2216.0,South West Khasi Hills,0.0,0.0,0.0,,9,25,18,0,0.0,0.0,0.0,,30.0,96.0,18.0,110152,,,,2698.0,20.0,2678.0,,39659,28300,362,0,2022-06-02 11:55:24.792190,3224000,,,,93826,1593,92229,,1416423,1046598,44023,0,0.0,0.0
2022-06-01,ML,0,0,0,0,760,1005,446,8,4.0,0.0,2.0,,5286.0,6260.0,2216.0,Unknown,0.0,0.0,0.0,,0,0,0,0,4.0,0.0,2.0,,0.0,0.0,0.0,0,,,,7.0,0.0,18.0,,0,0,0,0,2022-06-02 11:55:24.792190,3224000,,,,93826,1593,92229,,1416423,1046598,44023,0,0.0,0.0
2022-06-01,ML,0,0,0,0,760,1005,446,8,4.0,0.0,2.0,,5286.0,6260.0,2216.0,West Garo Hills,0.0,0.0,0.0,,400,295,87,0,0.0,0.0,0.0,,1912.0,1709.0,444.0,642923,,,,10725.0,80.0,10647.0,,263781,190197,8066,0,2022-06-02 11:55:24.792190,3224000,,,,93826,1593,92229,,1416423,1046598,44023,0,0.0,0.0
2022-06-01,ML,0,0,0,0,760,1005,446,8,4.0,0.0,2.0,,5286.0,6260.0,2216.0,West Jaintia Hills,0.0,0.0,0.0,,66,21,3,0,0.0,0.0,0.0,,263.0,146.0,27.0,270352,,,,7192.0,139.0,7055.0,,110440,81547,1549,0,2022-06-02 11:55:24.792190,3224000,,,,93826,1593,92229,,1416423,1046598,44023,0,0.0,0.0
2022-06-01,ML,0,0,0,0,760,1005,446,8,4.0,0.0,2.0,,5286.0,6260.0,2216.0,West Khasi Hills,0.0,0.0,0.0,,89,200,2,0,0.0,0.0,0.0,,365.0,541.0,14.0,385601,,,,5654.0,76.0,5578.0,,99566,69467,1017,0,2022-06-02 11:55:24.792190,3224000,,,,93826,1593,92229,,1416423,1046598,44023,0,0.0,0.0
