Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Ahmedabad,86,0,26,2887,303,5889,4347,119,344.0,0.0,166.0,15556.0,3562.0,35447.0,20851.0,7208200,2022-06-10 23:55:33.869654,,,385700,3619,381739,6706736,6972759,6500923,469445,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Amreli,0,0,0,430,20,305,533,0,2.0,0.0,0.0,2075.0,131.0,2250.0,2456.0,1513614,2022-06-10 23:55:33.869654,,,12905,105,12798,843237,1122413,1134714,74317,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Anand,1,0,0,260,15,4136,1861,0,6.0,0.0,0.0,1869.0,1831.0,23080.0,12325.0,2090276,2022-06-10 23:55:33.869654,,,15477,53,15418,834807,1885371,1908310,141576,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Aravalli,0,0,0,511,6,389,2390,0,3.0,0.0,0.0,2914.0,37.0,1199.0,7213.0,1051746,2022-06-10 23:55:33.869654,,,5746,81,5662,550071,857203,872158,104045,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Banaskantha,0,0,0,668,118,2771,3114,0,2.0,0.0,0.0,4278.0,841.0,15110.0,22363.0,3116045,2022-06-10 23:55:33.869654,,,18338,166,18170,1273474,2598357,2675699,193160,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Bharuch,0,0,0,705,86,413,438,0,1.0,0.0,1.0,4407.0,461.0,4815.0,2745.0,1550822,2022-06-10 23:55:33.869654,,,17291,152,17138,743482,1462043,1474905,73067,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Bhavnagar,0,0,0,1038,36,260,664,2,2.0,0.0,0.0,3742.0,378.0,3849.0,4310.0,2877961,2022-06-10 23:55:33.869654,,,29249,362,28882,1561738,2093534,2225609,100175,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Botad,0,0,0,368,2,23,151,0,0.0,0.0,0.0,1456.0,67.0,138.0,538.0,656005,2022-06-10 23:55:33.869654,,,2356,48,2308,349333,464650,456626,27925,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Chhota Udaipur,0,0,0,3,0,7,3,0,0.0,0.0,0.0,264.0,72.0,15.0,13.0,1071831,2022-06-10 23:55:33.869654,,,3756,38,3718,370354,759452,725582,45428,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Dahod,0,0,0,143,277,187,15,0,1.0,0.0,0.0,1846.0,374.0,915.0,483.0,2126558,2022-06-10 23:55:33.869654,,,11301,46,11254,991210,1790426,1790768,183625,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Dang,0,0,0,46,5,1,0,0,0.0,0.0,0.0,327.0,168.0,29.0,2.0,226769,2022-06-10 23:55:33.869654,,,1259,18,1241,114816,191145,185035,7457,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Devbhumi Dwarka,0,0,0,37,7,2027,398,0,0.0,0.0,1.0,579.0,147.0,7884.0,2878.0,752484,2022-06-10 23:55:33.869654,,,5183,89,5094,346403,670518,664300,54355,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Gandhinagar,10,1,1,899,53,181,913,15,27.0,1.0,10.0,5769.0,287.0,1633.0,4896.0,1387478,2022-06-10 23:55:33.869654,,,35222,227,34969,1149985,1419529,1366713,108664,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Gir Somnath,0,0,0,95,25,231,38,1,1.0,0.0,1.0,869.0,279.0,7278.0,505.0,1217477,2022-06-10 23:55:33.869654,,,9751,67,9683,516527,1061236,1016941,26392,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Jamnagar,3,0,8,769,21,259,367,0,12.0,0.0,10.0,5575.0,219.0,2904.0,3568.0,2159130,2022-06-10 23:55:33.869654,,,41854,520,41327,1180626,1338421,1302785,90656,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Junagadh,0,0,0,1661,6,166,772,0,0.0,0.0,0.0,10002.0,85.0,3298.0,3734.0,2742291,2022-06-10 23:55:33.869654,,,22756,272,22484,1415224,1522093,1645120,138406,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Kheda,0,0,0,357,13,134,319,1,0.0,0.0,0.0,2893.0,124.0,1793.0,1938.0,2298934,2022-06-10 23:55:33.869654,,,14700,55,14645,869912,1743736,1753457,121450,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Kutch,1,0,0,90,55,466,148,1,3.0,0.0,0.0,879.0,488.0,2317.0,1139.0,2090313,2022-06-10 23:55:33.869654,,,19017,146,18868,1089953,1759752,1653555,70998,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Mahisagar,0,0,0,176,1,21,1645,0,0.0,0.0,0.0,1178.0,11.0,920.0,4873.0,994624,2022-06-10 23:55:33.869654,,,8867,75,8792,530522,945028,984914,120259,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
2022-06-10,GJ,143,1,51,20090,1591,22663,27447,193,620.0,1.0,278.0,119809.0,13253.0,156738.0,154929.0,Mehsana,3,0,1,903,26,368,525,6,10.0,0.0,5.0,5497.0,270.0,2827.0,4312.0,2027727,2022-06-10 23:55:33.869654,,,31028,194,30825,1090877,1653035,1575057,125161,0,2022-06-10 23:55:33.868789,67936000,2022-06-10 23:55:33.870011,,,1225796,10942,1214246,42106329,54001857,52892398,3585744,0,0.0,0.0
