Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-06-12,TG,129,0,67,0,384,1749,2476,305,851.0,0.0,375.0,,13732.0,81433.0,49737.0,Adilabad,,,,,1,70,0,,,,,,53.0,2199.0,959.0,708952,,,,,,,,614977,592478,10933,0,2022-06-13 11:55:26.717238,37220000,,,,794458,4111,789308,,32212987,30658051,875449,0,0.0,0.0
2022-06-12,TG,129,0,67,0,384,1749,2476,305,851.0,0.0,375.0,,13732.0,81433.0,49737.0,Bhadradri Kothagudem,,,,,0,40,2,,,,,,257.0,3147.0,3075.0,1304811,,,,,,,,938629,909613,28804,0,2022-06-13 11:55:26.717238,37220000,,,,794458,4111,789308,,32212987,30658051,875449,0,0.0,0.0
2022-06-12,TG,129,0,67,0,384,1749,2476,305,851.0,0.0,375.0,,13732.0,81433.0,49737.0,Foreign Evacuees,,,,,0,0,0,,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-06-13 11:55:26.717238,37220000,,,,794458,4111,789308,,32212987,30658051,875449,0,0.0,0.0
2022-06-12,TG,129,0,67,0,384,1749,2476,305,851.0,0.0,375.0,,13732.0,81433.0,49737.0,Hyderabad,,,,,100,366,613,,,,,,2354.0,14245.0,7195.0,3441992,,,,,,,,3922460,3220294,157513,0,2022-06-13 11:55:26.717238,37220000,,,,794458,4111,789308,,32212987,30658051,875449,0,0.0,0.0
2022-06-12,TG,129,0,67,0,384,1749,2476,305,851.0,0.0,375.0,,13732.0,81433.0,49737.0,Jagtial,,,,,0,0,0,,,,,,154.0,444.0,251.0,983414,,,,,,,,850230,861826,11547,0,2022-06-13 11:55:26.717238,37220000,,,,794458,4111,789308,,32212987,30658051,875449,0,0.0,0.0
2022-06-12,TG,129,0,67,0,384,1749,2476,305,851.0,0.0,375.0,,13732.0,81433.0,49737.0,Jangaon,,,,,0,1,22,,,,,,57.0,710.0,2083.0,582457,,,,,,,,468145,481680,17437,0,2022-06-13 11:55:26.717238,37220000,,,,794458,4111,789308,,32212987,30658051,875449,0,0.0,0.0
2022-06-12,TG,129,0,67,0,384,1749,2476,305,851.0,0.0,375.0,,13732.0,81433.0,49737.0,Jayashankar Bhupalapally,,,,,0,0,0,,,,,,118.0,461.0,416.0,712257,,,,,,,,373916,354541,5002,0,2022-06-13 11:55:26.717238,37220000,,,,794458,4111,789308,,32212987,30658051,875449,0,0.0,0.0
2022-06-12,TG,129,0,67,0,384,1749,2476,305,851.0,0.0,375.0,,13732.0,81433.0,49737.0,Jogulamba Gadwal,,,,,0,0,0,,,,,,19.0,32.0,315.0,664971,,,,,,,,515860,527645,11293,0,2022-06-13 11:55:26.717238,37220000,,,,794458,4111,789308,,32212987,30658051,875449,0,0.0,0.0
2022-06-12,TG,129,0,67,0,384,1749,2476,305,851.0,0.0,375.0,,13732.0,81433.0,49737.0,Kamareddy,,,,,0,1,0,,,,,,301.0,636.0,596.0,972625,,,,,,,,806301,788024,15243,0,2022-06-13 11:55:26.717238,37220000,,,,794458,4111,789308,,32212987,30658051,875449,0,0.0,0.0
2022-06-12,TG,129,0,67,0,384,1749,2476,305,851.0,0.0,375.0,,13732.0,81433.0,49737.0,Karimnagar,,,,,8,113,27,,,,,,378.0,6890.0,3327.0,1016063,,,,,,,,922587,911526,25033,0,2022-06-13 11:55:26.717238,37220000,,,,794458,4111,789308,,32212987,30658051,875449,0,0.0,0.0
