Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-06-12,TN,249,0,148,14065,114997,697749,74425,397,1299.0,0.0,803.0,91029.0,167583.0,930798.0,93993.0,Ariyalur,1,0,0,,609,25093,69,1,1.0,0.0,0.0,,874.0,29395.0,94.0,752481,,,,19884,267,19616,,687125,653471,5039,0,2022-06-13T12:00:55.672800+05:30,75695000,,,,3457382,38025,3418025,66786042,59317440,51471348,1174782,0,0.0,0.0
2022-06-12,TN,249,0,148,14065,114997,697749,74425,397,1299.0,0.0,803.0,91029.0,167583.0,930798.0,93993.0,Chengalpattu,41,0,34,,1474,6076,1970,101,224.0,0.0,265.0,,1989.0,8287.0,3517.0,2556244,,,,236336,2658,233463,,1805385,1430557,59631,0,2022-06-13T12:00:55.672800+05:30,75695000,,,,3457382,38025,3418025,66786042,59317440,51471348,1174782,0,0.0,0.0
2022-06-12,TN,249,0,148,14065,114997,697749,74425,397,1299.0,0.0,803.0,91029.0,167583.0,930798.0,93993.0,Chennai,122,0,73,,4327,21550,10997,213,682.0,0.0,357.0,,5552.0,25645.0,17511.0,7100000,,,,753522,9068,743721,,6181143,5113092,286464,0,2022-06-13T12:00:55.672800+05:30,75695000,,,,3457382,38025,3418025,66786042,59317440,51471348,1174782,0,0.0,0.0
2022-06-12,TN,249,0,148,14065,114997,697749,74425,397,1299.0,0.0,803.0,91029.0,167583.0,930798.0,93993.0,Coimbatore,20,0,5,,998,13779,3688,22,70.0,0.0,35.0,,1343.0,21958.0,5371.0,3472578,,,,330155,2617,327467,,3205483,2614900,85462,0,2022-06-13T12:00:55.672800+05:30,75695000,,,,3457382,38025,3418025,66786042,59317440,51471348,1174782,0,0.0,0.0
2022-06-12,TN,249,0,148,14065,114997,697749,74425,397,1299.0,0.0,803.0,91029.0,167583.0,930798.0,93993.0,Cuddalore,1,0,1,,247,1036,2911,2,4.0,0.0,2.0,,637.0,1801.0,3205.0,2600880,,,,74276,895,73377,,2403483,2323951,31432,0,2022-06-13T12:00:55.672800+05:30,75695000,,,,3457382,38025,3418025,66786042,59317440,51471348,1174782,0,0.0,0.0
2022-06-12,TN,249,0,148,14065,114997,697749,74425,397,1299.0,0.0,803.0,91029.0,167583.0,930798.0,93993.0,Dharmapuri,0,0,1,,1125,10619,276,0,2.0,0.0,1.0,,2735.0,25447.0,364.0,1502900,,,,36196,283,35911,,1100811,939643,10069,0,2022-06-13T12:00:55.672800+05:30,75695000,,,,3457382,38025,3418025,66786042,59317440,51471348,1174782,0,0.0,0.0
2022-06-12,TN,249,0,148,14065,114997,697749,74425,397,1299.0,0.0,803.0,91029.0,167583.0,930798.0,93993.0,Dindigul,1,0,0,,3675,31650,3826,0,2.0,0.0,0.0,,4836.0,36712.0,4040.0,2161367,,,,37482,665,36815,,1913218,1732341,33530,0,2022-06-13T12:00:55.672800+05:30,75695000,,,,3457382,38025,3418025,66786042,59317440,51471348,1174782,0,0.0,0.0
2022-06-12,TN,249,0,148,14065,114997,697749,74425,397,1299.0,0.0,803.0,91029.0,167583.0,930798.0,93993.0,Erode,2,0,2,,726,8983,1099,0,13.0,0.0,2.0,,939.0,12837.0,1276.0,2259608,,,,132691,734,131944,,1778865,1473547,24153,0,2022-06-13T12:00:55.672800+05:30,75695000,,,,3457382,38025,3418025,66786042,59317440,51471348,1174782,0,0.0,0.0
2022-06-12,TN,249,0,148,14065,114997,697749,74425,397,1299.0,0.0,803.0,91029.0,167583.0,930798.0,93993.0,Kallakurichi,0,0,0,,516,25711,931,0,2.0,0.0,0.0,,885.0,28130.0,973.0,1370281,,,,36524,215,36307,,1211858,1230838,10220,0,2022-06-13T12:00:55.672800+05:30,75695000,,,,3457382,38025,3418025,66786042,59317440,51471348,1174782,0,0.0,0.0
2022-06-12,TN,249,0,148,14065,114997,697749,74425,397,1299.0,0.0,803.0,91029.0,167583.0,930798.0,93993.0,Kancheepuram,13,0,8,,541,1986,480,9,75.0,0.0,41.0,,785.0,3264.0,789.0,1166401,,,,94566,1302,93198,,899306,680821,10260,0,2022-06-13T12:00:55.672800+05:30,75695000,,,,3457382,38025,3418025,66786042,59317440,51471348,1174782,0,0.0,0.0
