Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-06-18,MN,1,0,1,47,83,539,158,5,3.0,0.0,2.0,385.0,7755.0,8355.0,2897.0,Bishnupur,0,0,,2,0,0,3,0,0.0,0.0,,19.0,354.0,205.0,154.0,240363,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,9842,205,,84398,158954,121261,6120,0,2022-06-18 12:32:08.185663,3103000,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,137245,2120,135123,1614040,1585854,1249766,103996,0,0.0,0.0
2022-06-18,MN,1,0,1,47,83,539,158,5,3.0,0.0,2.0,385.0,7755.0,8355.0,2897.0,Chandel,0,0,,0,2,2,38,0,0.0,0.0,,10.0,3.0,289.0,93.0,144028,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,2727,42,,37046,33628,29162,5348,0,2022-06-18 12:32:08.185663,3103000,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,137245,2120,135123,1614040,1585854,1249766,103996,0,0.0,0.0
2022-06-18,MN,1,0,1,47,83,539,158,5,3.0,0.0,2.0,385.0,7755.0,8355.0,2897.0,Churachandpur,0,0,,6,10,176,75,0,0.0,0.0,,29.0,498.0,1915.0,772.0,271274,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,11054,168,,135418,137663,118256,12433,0,2022-06-18 12:32:08.185663,3103000,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,137245,2120,135123,1614040,1585854,1249766,103996,0,0.0,0.0
2022-06-18,MN,1,0,1,47,83,539,158,5,3.0,0.0,2.0,385.0,7755.0,8355.0,2897.0,Imphal East,0,0,,11,5,52,0,2,0.0,0.0,,55.0,1147.0,1503.0,760.0,452661,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,30454,511,,281700,317412,248133,24487,0,2022-06-18 12:32:08.185663,3103000,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,137245,2120,135123,1614040,1585854,1249766,103996,0,0.0,0.0
2022-06-18,MN,1,0,1,47,83,539,158,5,3.0,0.0,2.0,385.0,7755.0,8355.0,2897.0,Imphal West,0,0,,5,0,4,16,3,1.0,0.0,,114.0,3526.0,433.0,514.0,514683,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,48754,704,,505737,376559,302243,24358,0,2022-06-18 12:32:08.185663,3103000,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,137245,2120,135123,1614040,1585854,1249766,103996,0,0.0,0.0
2022-06-18,MN,1,0,1,47,83,539,158,5,3.0,0.0,2.0,385.0,7755.0,8355.0,2897.0,Jiribam,0,0,,0,0,0,0,5785,0.0,0.0,,0.0,0.0,1.0,0.0,43818,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,1111,7,,36590,30318,24811,1692,0,2022-06-18 12:32:08.185663,3103000,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,137245,2120,135123,1614040,1585854,1249766,103996,0,0.0,0.0
2022-06-18,MN,1,0,1,47,83,539,158,5,3.0,0.0,2.0,385.0,7755.0,8355.0,2897.0,Kakching,0,0,,0,3,7,4,-5860,0.0,0.0,,4.0,24.0,50.0,116.0,135481,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,6896,122,,66498,100993,81470,5014,0,2022-06-18 12:32:08.185663,3103000,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,137245,2120,135123,1614040,1585854,1249766,103996,0,0.0,0.0
2022-06-18,MN,1,0,1,47,83,539,158,5,3.0,0.0,2.0,385.0,7755.0,8355.0,2897.0,Kamjong,0,0,,1,12,26,0,2099,0.0,0.0,,3.0,64.0,112.0,3.0,45616,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,1036,5,,15445,14940,11370,399,0,2022-06-18 12:32:08.185663,3103000,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,137245,2120,135123,1614040,1585854,1249766,103996,0,0.0,0.0
2022-06-18,MN,1,0,1,47,83,539,158,5,3.0,0.0,2.0,385.0,7755.0,8355.0,2897.0,Kangpokpi,1,0,,2,0,0,0,-1977,1.0,0.0,,13.0,543.0,270.0,112.0,0,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,3136,67,,45845,59285,39864,1960,0,2022-06-18 12:32:08.185663,3103000,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,137245,2120,135123,1614040,1585854,1249766,103996,0,0.0,0.0
2022-06-18,MN,1,0,1,47,83,539,158,5,3.0,0.0,2.0,385.0,7755.0,8355.0,2897.0,Noney,0,0,,0,0,0,0,-693,0.0,0.0,,1.0,1.0,13.0,26.0,0,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,1158,5,,19279,21874,16517,2397,0,2022-06-18 12:32:08.185663,3103000,2022-06-18 12:32:06.267643,https://twitter.com/health_manipur,,137245,2120,135123,1614040,1585854,1249766,103996,0,0.0,0.0
