Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeOtherNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeOtherNumberForState,cumulativeTestedNumberForState
2022-06-22,KL,Ernakulam,,,,906355,8278,0,891194,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Thiruvananthapuram,,,,718882,8426,0,704792,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Kottayam,,,,457697,4545,0,450488,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Kozhikode,,,,678889,6349,0,670764,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Thrissur,,,,674582,7452,0,665674,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Alappuzha,,,,393341,5251,0,386662,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Pathanamthitta,,,,271004,2534,0,267054,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Kollam,,,,514557,6526,0,506647,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Malappuram,,,,648604,6441,0,641528,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Palakkad,,,,451177,5806,0,444746,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Idukki,,,,211202,1518,0,209183,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Wayanad,,,,168937,974,0,167692,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Kannur,,,,350344,4433,0,345712,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
2022-06-22,KL,Kasaragod,,,,167036,1391,0,165503,,2022-06-22 23:55:48.151683,2022-06-22 23:55:48.152567,,,6612607,69917,6513600,0,47886706
