,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-06-23,MH,Mumbai,,,,1100940,19589,1067737,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
1,2022-06-23,MH,Thane,,,,781773,11920,764365,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
2,2022-06-23,MH,Palghar,,,,165413,3408,161206,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
3,2022-06-23,MH,Raigad,,,,247804,4948,241835,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
4,2022-06-23,MH,Ratnagiri,,,,84609,2546,82000,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
5,2022-06-23,MH,Sindhudurg,,,,57285,1533,55672,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
6,2022-06-23,MH,Pune,,,,1460337,20545,1437349,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
7,2022-06-23,MH,Satara,,,,278321,6716,271563,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
8,2022-06-23,MH,Sangli,,,,227136,5666,221454,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
9,2022-06-23,MH,Kolhapur,,,,220564,5904,214623,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
10,2022-06-23,MH,Solapur,,,,227158,5879,221232,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
11,2022-06-23,MH,Nashik,,,,473332,8911,464201,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
12,2022-06-23,MH,Ahmednagar,,,,377887,7242,370571,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
13,2022-06-23,MH,Jalgaon,,,,149620,2762,146833,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
14,2022-06-23,MH,Nandurbar,,,,46623,962,45657,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
15,2022-06-23,MH,Dhule,,,,50804,670,50122,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
16,2022-06-23,MH,Aurangabad,,,,176691,4284,172341,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
17,2022-06-23,MH,Jalna,,,,66345,1224,65113,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
18,2022-06-23,MH,Beed,,,,109231,2885,106341,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
19,2022-06-23,MH,Latur,,,,105022,2489,102474,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
20,2022-06-23,MH,Parbhani,,,,58597,1279,57306,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
21,2022-06-23,MH,Hingoli,,,,22197,514,21668,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
22,2022-06-23,MH,Nanded,,,,102712,2704,99988,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
23,2022-06-23,MH,Osmanabad,,,,75214,2139,73049,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
24,2022-06-23,MH,Amravati,,,,106016,1624,104370,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
25,2022-06-23,MH,Akola,,,,66256,1470,64742,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
26,2022-06-23,MH,Washim,,,,45735,641,45039,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
27,2022-06-23,MH,Buldhana,,,,92072,836,91203,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
28,2022-06-23,MH,Yavatmal,,,,82008,1820,80167,,2022-06-24T11:45:19.661123+05:30,,,,7950240,147893,7777480,81747761,0,0
