Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Amritsar,0,0,0,,756,8233,375,14,39.0,2.0,11.0,,6430.0,34658.0,2378.0,2490891,,,,59553,1684,57822,,2066416,1678682,63713,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Barnala,0,0,0,,44,934,4,1,3.0,0.0,1.0,,186.0,4748.0,38.0,596294,,,,7508,349,7156,,501945,461728,5458,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Bathinda,0,0,0,,153,605,85,8,31.0,0.0,24.0,,914.0,3751.0,544.0,1388859,,,,51001,1088,49866,,1177430,798714,22278,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Faridkot,0,0,0,,53,582,215,2,20.0,0.0,17.0,,1100.0,3924.0,818.0,618008,,,,16864,338,16495,,523612,489194,15925,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Fatehgarh Sahib,0,0,0,,27,504,53,13,23.0,0.0,16.0,,146.0,1631.0,245.0,599814,,,,11899,354,11521,,516142,464270,8751,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Fazilka,0,0,0,,14,351,64,5,24.0,0.0,5.0,,123.0,1882.0,367.0,1180483,,,,23462,545,22891,,857610,687241,15970,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Ferozepur,0,0,0,,108,2832,91,2,17.0,0.0,1.0,,608.0,13481.0,403.0,2026831,,,,17945,537,17384,,829250,571471,14875,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Gurdaspur,0,0,0,,27,867,134,5,12.0,0.0,3.0,,173.0,4456.0,1787.0,2299026,,,,26983,865,26104,,1441200,1448406,52745,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Hoshiarpur,0,0,0,,110,765,466,10,9.0,0.0,5.0,,598.0,3990.0,2777.0,1582793,,,,40936,1096,39822,,1264653,1171975,58698,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Jalandhar,0,0,0,,114,2618,249,35,38.0,0.0,22.0,,963.0,16862.0,1974.0,2181753,,,,78515,1579,76884,,1942323,1842271,100441,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Kapurthala,0,0,0,,1156,840,49,4,16.0,0.0,8.0,,1531.0,4878.0,287.0,817668,,,,22102,583,21505,,704526,615022,25070,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Ludhiana,0,0,0,,835,6322,1065,74,133.0,4.0,88.0,,3134.0,19154.0,3957.0,3487882,,,,110303,2289,107839,,3356858,2483226,82162,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Mansa,0,0,0,,22,3081,18,0,15.0,0.0,4.0,,234.0,26683.0,137.0,768808,,,,17254,393,16845,,662082,606388,12048,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Moga,0,0,0,,17,257,34,2,3.0,0.0,1.0,,140.0,1794.0,242.0,992289,,,,11004,255,10743,,803393,710985,17434,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Pathankot,0,0,0,,15,1072,56,7,7.0,0.0,17.0,,218.0,1993.0,281.0,626154,,,,24616,495,24109,,599923,467092,50954,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Patiala,0,0,0,,83,982,362,22,73.0,0.0,33.0,,854.0,6951.0,3156.0,2892282,,,,62400,1457,60854,,1511050,1191978,58070,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Rupnagar,0,0,0,,23,521,58,7,8.0,0.0,8.0,,128.0,2124.0,616.0,683349,,,,18002,455,17530,,567285,556647,14183,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,S.A.S. Nagar,0,0,0,,105,363,179,120,227.0,1.0,166.0,,640.0,1770.0,2627.0,986147,,,,96636,1151,95220,,1150996,869740,45325,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Sangrur,0,0,0,,177,2097,205,1,12.0,0.0,3.0,,783.0,8378.0,714.0,1654408,,,,14326,735,13580,,1295636,1022122,22290,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Shahid Bhagat Singh Nagar,0,0,0,,17,450,46,3,2.0,0.0,2.0,,146.0,1690.0,655.0,614362,,,,13432,409,13020,,529948,463856,16855,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Sri Muktsar Sahib,0,0,0,,25,503,17,0,3.0,0.0,0.0,,165.0,4400.0,204.0,902702,,,,22574,539,22028,,687793,570435,11648,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Tarn Taran,0,0,0,,103,1536,236,3,5.0,0.0,6.0,,632.0,7957.0,1693.0,1120070,,,,10916,394,10517,,946064,824880,20570,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,0.0,0.0
2022-06-28,PB,194,1,130,0,3984,36315,4061,338,1045.0,11.0,685.0,57812.0,19846.0,177155.0,25900.0,Unknown,194,1,130,,0,0,0,0,,,,,,,,0,,,,323,4,243,,0,0,0,0,2022-06-29 12:16:10.672240,29859000,,,There could be a spike in the Delta Values as the last published data at the district level for Punjab is 2022-06-26,762532,17770,743778,19830841,23936135,19996323,735463,0,,
