Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Alluri Sitharama Raju,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,,0.0,0.0,0.0,,0,0,0,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Anakapalli,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,,2.0,0.0,0.0,,0,0,0,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Anantapur,0.0,0.0,0.0,,2,9,1611,0.0,0.0,0.0,0.0,,14.0,49.0,15301.0,4083315,,,,177612.0,0.0,0.0,,3632558,3997934,435771,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Annamayya,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,,0.0,0.0,0.0,,0,0,0,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Bapatla,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,,1.0,0.0,0.0,,0,0,0,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Chittoor,0.0,0.0,0.0,,57,61,1542,0.0,0.0,0.0,0.0,,308.0,525.0,16845.0,4170468,,,,272394.0,0.0,0.0,,3831220,4148136,418255,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,East Godavari,0.0,0.0,0.0,,50,241,1304,0.0,0.0,0.0,0.0,,309.0,1177.0,11276.0,5151549,,,,316586.0,0.0,0.0,,4669759,4821902,456506,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Eluru,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,,2.0,0.0,0.0,,0,0,0,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Foreign Evacuees,,,,,0,0,0,,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Guntur,0.0,0.0,0.0,,31,112,4495,1.0,0.0,0.0,0.0,,231.0,1219.0,31341.0,4889230,,,,203244.0,0.0,0.0,,4481155,4769045,444766,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Kakinada,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,,0.0,0.0,0.0,,0,0,0,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Konaseema,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,,0.0,0.0,0.0,,0,0,0,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Krishna,0.0,0.0,0.0,,7,6,4685,0.0,0.0,0.0,0.0,,76.0,56.0,27693.0,4529009,,,,136897.0,0.0,0.0,,4084833,4446994,442373,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Kurnool,0.0,0.0,0.0,,37,13,475,0.0,0.0,0.0,0.0,,281.0,507.0,10028.0,4046601,,,,144244.0,0.0,0.0,,3479686,3692672,335111,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,NTR District,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,,3.0,0.0,0.0,,0,0,0,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Nandyal,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,,0.0,0.0,0.0,,0,0,0,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Other Countries,,,,,0,0,0,,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
2022-06-29,AP,172,0,75,0,310,1002,35596,187,784.0,0.0,398.0,0.0,2092.0,7486.0,263027.0,Other State,,,,,0,0,0,,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-06-30 11:56:10.341669,52221000,,,There could be a spike in the Delta Values as the last published data at the district level for Andhra Pradesh is 2022-06-27,2321379,14731,2305893,33535691,44632869,47503281,4768324,0,0.0,0.0
