,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
1,2022-07-01,PB,Ludhiana,,,,110469,2293,107946,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
2,2022-07-01,PB,S.A.S. Nagar,,,,96887,1154,95395,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
3,2022-07-01,PB,Jalandhar,,,,78588,1580,76929,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
4,2022-07-01,PB,Patiala,,,,62477,1458,60921,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
5,2022-07-01,PB,Amritsar,,,,59591,1684,57862,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
6,2022-07-01,PB,Bathinda,,,,51102,1088,49892,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
7,2022-07-01,PB,Hoshiarpur,,,,40951,1096,39833,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
8,2022-07-01,PB,Gurdaspur,,,,26998,865,26118,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
9,2022-07-01,PB,Pathankot,,,,24637,495,24118,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
10,2022-07-01,PB,Fazilka,,,,23476,545,22903,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
11,2022-07-01,PB,Sri Muktsar Sahib,,,,22584,539,22035,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
12,2022-07-01,PB,Kapurthala,,,,22111,583,21514,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
13,2022-07-01,PB,Rupnagar,,,,18021,455,17546,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
14,2022-07-01,PB,Ferozepur,,,,17959,538,17406,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
15,2022-07-01,PB,Mansa,,,,17275,393,16855,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
16,2022-07-01,PB,Faridkot,,,,16896,338,16525,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
17,2022-07-01,PB,Sangrur,,,,14339,735,13591,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
18,2022-07-01,PB,Shahid Bhagat Singh Nagar,,,,13441,409,13022,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
19,2022-07-01,PB,Fatehgarh Sahib,,,,11926,354,11543,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
20,2022-07-01,PB,Moga,,,,11009,255,10747,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
21,2022-07-01,PB,Tarn Taran,,,,10919,394,10517,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
22,2022-07-01,PB,Barnala,,,,7513,349,7158,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
23,2022-07-01,PB,Malerkotla,,,,3981,176,3804,,2022-07-13T23:14:48.226551+05:30,,,,763150,17776,744180,19885221,0,0
