,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-07-18,RJ,Ajmer,,,,50125,447,49594,798255,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
1,2022-07-18,RJ,Alwar,,,,84989,321,84616,1631433,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
2,2022-07-18,RJ,Banswara,,,,14785,106,14678,322985,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
3,2022-07-18,RJ,Baran,,,,15319,64,15251,242945,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
4,2022-07-18,RJ,Barmer,,,,21485,205,21272,406659,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
5,2022-07-18,RJ,Bharatpur,,,,31455,273,31181,476435,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
6,2022-07-18,RJ,Bhilwara,,,,38335,162,38124,510654,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
7,2022-07-18,RJ,Bikaner,,,,50583,591,49824,763843,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
8,2022-07-18,RJ,Bundi,,,,9715,55,9660,236980,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
9,2022-07-18,RJ,Chittorgarh,,,,29453,140,29296,455181,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
10,2022-07-18,RJ,Churu,,,,20956,115,20836,438138,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
11,2022-07-18,RJ,Dausa,,,,15906,82,15818,298616,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
12,2022-07-18,RJ,Dholpur,,,,13966,49,13917,290203,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
13,2022-07-18,RJ,Dungarpur,,,,25520,134,25370,328257,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
14,2022-07-18,RJ,Ganganagar,,,,28190,158,28029,423523,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
15,2022-07-18,RJ,Hanumangarh,,,,22543,115,22421,489584,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
16,2022-07-18,RJ,Jaipur,,,,278067,2114,275554,3488630,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
17,2022-07-18,RJ,Jaisalmer,,,,17036,68,16968,243137,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
18,2022-07-18,RJ,Jalore,,,,10590,78,10496,449707,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
19,2022-07-18,RJ,Jhalawar,,,,17781,207,17560,417708,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
20,2022-07-18,RJ,Jhunjhunu,,,,19161,181,18980,494520,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
21,2022-07-18,RJ,Jodhpur,,,,141875,1164,140441,1438286,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
22,2022-07-18,RJ,Karauli,,,,8969,85,8884,243770,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
23,2022-07-18,RJ,Kota,,,,70136,477,69654,1137983,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
24,2022-07-18,RJ,Nagaur,,,,23790,201,23570,653319,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
25,2022-07-18,RJ,Pali,,,,35856,299,35557,462685,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
26,2022-07-18,RJ,Pratapgarh,,,,11893,65,11817,278479,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
27,2022-07-18,RJ,Rajsamand,,,,23081,178,22886,302526,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
28,2022-07-18,RJ,Sawai Madhopur,,,,15825,66,15757,279488,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
29,2022-07-18,RJ,Sikar,,,,38127,368,37752,512772,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
30,2022-07-18,RJ,Sirohi,,,,17355,88,17196,322977,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
31,2022-07-18,RJ,Tonk,,,,13328,103,13221,333562,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
32,2022-07-18,RJ,Udaipur,,,,74581,775,73729,919189,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
33,2022-07-18,RJ,Other state/,,,,337,39,298,6012,2022-07-19T11:49:22.603586+05:30,,,,1291113,9573,1280207,20098441,0,0
