Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-07-24,JH,94,0,102,0,2966,4875,12765,651,1224.0,2.0,1039.0,,43972.0,80838.0,188087.0,Bokaro,,,,,60,81,1051,,,,,,1627.0,3460.0,21792.0,2061918,,,,,,,,1645427,1071055,59810,0,2022-07-25 11:55:27.097075,37403000,,,,439019,5327,432464,,23647172,16998205,707942,0,0.0,0.0
2022-07-24,JH,94,0,102,0,2966,4875,12765,651,1224.0,2.0,1039.0,,43972.0,80838.0,188087.0,Chatra,,,,,5,27,50,,,,,,547.0,1015.0,1798.0,1042304,,,,,,,,683005,413417,11019,0,2022-07-25 11:55:27.097075,37403000,,,,439019,5327,432464,,23647172,16998205,707942,0,0.0,0.0
2022-07-24,JH,94,0,102,0,2966,4875,12765,651,1224.0,2.0,1039.0,,43972.0,80838.0,188087.0,Deoghar,,,,,14,118,96,,,,,,617.0,3539.0,1980.0,1491879,,,,,,,,1021817,726454,21222,0,2022-07-25 11:55:27.097075,37403000,,,,439019,5327,432464,,23647172,16998205,707942,0,0.0,0.0
2022-07-24,JH,94,0,102,0,2966,4875,12765,651,1224.0,2.0,1039.0,,43972.0,80838.0,188087.0,Dhanbad,,,,,135,238,1007,,,,,,1274.0,2847.0,17327.0,2682662,,,,,,,,1695267,1198198,58494,0,2022-07-25 11:55:27.097075,37403000,,,,439019,5327,432464,,23647172,16998205,707942,0,0.0,0.0
2022-07-24,JH,94,0,102,0,2966,4875,12765,651,1224.0,2.0,1039.0,,43972.0,80838.0,188087.0,Dumka,,,,,26,222,135,,,,,,844.0,3060.0,2881.0,1321096,,,,,,,,988580,755078,16189,0,2022-07-25 11:55:27.097075,37403000,,,,439019,5327,432464,,23647172,16998205,707942,0,0.0,0.0
2022-07-24,JH,94,0,102,0,2966,4875,12765,651,1224.0,2.0,1039.0,,43972.0,80838.0,188087.0,East Singhbhum,,,,,129,174,1346,,,,,,1495.0,3233.0,29063.0,2291032,,,,,,,,1813732,1416758,129757,0,2022-07-25 11:55:27.097075,37403000,,,,439019,5327,432464,,23647172,16998205,707942,0,0.0,0.0
2022-07-24,JH,94,0,102,0,2966,4875,12765,651,1224.0,2.0,1039.0,,43972.0,80838.0,188087.0,Garhwa,,,,,65,123,120,,,,,,1145.0,1971.0,1298.0,1322387,,,,,,,,919256,567998,7980,0,2022-07-25 11:55:27.097075,37403000,,,,439019,5327,432464,,23647172,16998205,707942,0,0.0,0.0
2022-07-24,JH,94,0,102,0,2966,4875,12765,651,1224.0,2.0,1039.0,,43972.0,80838.0,188087.0,Giridih,,,,,286,329,624,,,,,,4437.0,5531.0,8136.0,2445203,,,,,,,,1515462,1000034,23649,0,2022-07-25 11:55:27.097075,37403000,,,,439019,5327,432464,,23647172,16998205,707942,0,0.0,0.0
2022-07-24,JH,94,0,102,0,2966,4875,12765,651,1224.0,2.0,1039.0,,43972.0,80838.0,188087.0,Godda,,,,,440,193,357,,,,,,2181.0,2265.0,5853.0,1311382,,,,,,,,889033,675112,19599,0,2022-07-25 11:55:27.097075,37403000,,,,439019,5327,432464,,23647172,16998205,707942,0,0.0,0.0
2022-07-24,JH,94,0,102,0,2966,4875,12765,651,1224.0,2.0,1039.0,,43972.0,80838.0,188087.0,Gumla,,,,,1,0,0,,,,,,465.0,2641.0,707.0,1025656,,,,,,,,800119,769354,17148,0,2022-07-25 11:55:27.097075,37403000,,,,439019,5327,432464,,23647172,16998205,707942,0,0.0,0.0
