Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-07-24,MH,2015,6,1916,0,1381,3632,21896,18728,14870.0,36.0,15667.0,106615.0,121388.0,242714.0,1113448.0,Ahmednagar,0.0,0.0,0.0,,9,32,74,272,177.0,0.0,117.0,,4067.0,11658.0,32546.0,4543083,,,,378890.0,7245.0,371185.0,,3404170,2672871,133071,0,2022-07-25 11:55:27.097075,122153000,,,There could be a spike in the Delta Values as the last published data at the district level for Maharashtra is 2022-07-22,8034261,148062,7871507,82743403,91180755,75450215,5418002,0,0.0,0.0
2022-07-24,MH,2015,6,1916,0,1381,3632,21896,18728,14870.0,36.0,15667.0,106615.0,121388.0,242714.0,1113448.0,Akola,0.0,0.0,0.0,,1,3,15,121,24.0,0.0,54.0,,3575.0,7386.0,16093.0,1818617,,,,66654.0,1471.0,65080.0,,1227992,861121,43244,0,2022-07-25 11:55:27.097075,122153000,,,There could be a spike in the Delta Values as the last published data at the district level for Maharashtra is 2022-07-22,8034261,148062,7871507,82743403,91180755,75450215,5418002,0,0.0,0.0
2022-07-24,MH,2015,6,1916,0,1381,3632,21896,18728,14870.0,36.0,15667.0,106615.0,121388.0,242714.0,1113448.0,Amravati,0.0,0.0,0.0,,30,16,227,88,37.0,0.0,67.0,,2547.0,4415.0,14839.0,2887826,,,,106369.0,1625.0,104641.0,,2086764,1521945,72297,0,2022-07-25 11:55:27.097075,122153000,,,There could be a spike in the Delta Values as the last published data at the district level for Maharashtra is 2022-07-22,8034261,148062,7871507,82743403,91180755,75450215,5418002,0,0.0,0.0
2022-07-24,MH,2015,6,1916,0,1381,3632,21896,18728,14870.0,36.0,15667.0,106615.0,121388.0,242714.0,1113448.0,Aurangabad,0.0,0.0,0.0,,56,93,358,420,83.0,0.0,142.0,,5271.0,10091.0,34615.0,3695928,,,,177774.0,4288.0,173180.0,,3032007,2345126,145983,0,2022-07-25 11:55:27.097075,122153000,,,There could be a spike in the Delta Values as the last published data at the district level for Maharashtra is 2022-07-22,8034261,148062,7871507,82743403,91180755,75450215,5418002,0,0.0,0.0
2022-07-24,MH,2015,6,1916,0,1381,3632,21896,18728,14870.0,36.0,15667.0,106615.0,121388.0,242714.0,1113448.0,Beed,0.0,0.0,0.0,,157,940,1104,48,33.0,0.0,21.0,,4701.0,15373.0,26021.0,2585962,,,,109419.0,2885.0,106473.0,,1864313,1451789,73443,0,2022-07-25 11:55:27.097075,122153000,,,There could be a spike in the Delta Values as the last published data at the district level for Maharashtra is 2022-07-22,8034261,148062,7871507,82743403,91180755,75450215,5418002,0,0.0,0.0
2022-07-24,MH,2015,6,1916,0,1381,3632,21896,18728,14870.0,36.0,15667.0,106615.0,121388.0,242714.0,1113448.0,Bhandara,0.0,0.0,0.0,,3,0,16,110,85.0,0.0,78.0,,167.0,801.0,13486.0,1198810,,,,68493.0,1142.0,67175.0,,990633,881165,55884,0,2022-07-25 11:55:27.097075,122153000,,,There could be a spike in the Delta Values as the last published data at the district level for Maharashtra is 2022-07-22,8034261,148062,7871507,82743403,91180755,75450215,5418002,0,0.0,0.0
2022-07-24,MH,2015,6,1916,0,1381,3632,21896,18728,14870.0,36.0,15667.0,106615.0,121388.0,242714.0,1113448.0,Buldhana,0.0,0.0,0.0,,7,10,3,119,69.0,1.0,53.0,,4223.0,7057.0,7731.0,2588039,,,,92532.0,837.0,91470.0,,1830233,1284386,35650,0,2022-07-25 11:55:27.097075,122153000,,,There could be a spike in the Delta Values as the last published data at the district level for Maharashtra is 2022-07-22,8034261,148062,7871507,82743403,91180755,75450215,5418002,0,0.0,0.0
2022-07-24,MH,2015,6,1916,0,1381,3632,21896,18728,14870.0,36.0,15667.0,106615.0,121388.0,242714.0,1113448.0,Chandrapur,0.0,0.0,0.0,,63,151,1638,91,39.0,0.0,17.0,,4896.0,9007.0,18073.0,2194262,,,,99226.0,1593.0,97533.0,,1718087,1442051,53507,0,2022-07-25 11:55:27.097075,122153000,,,There could be a spike in the Delta Values as the last published data at the district level for Maharashtra is 2022-07-22,8034261,148062,7871507,82743403,91180755,75450215,5418002,0,0.0,0.0
2022-07-24,MH,2015,6,1916,0,1381,3632,21896,18728,14870.0,36.0,15667.0,106615.0,121388.0,242714.0,1113448.0,Dhule,0.0,0.0,0.0,,0,10,27,96,27.0,0.0,32.0,,2041.0,4495.0,35285.0,2048781,,,,51073.0,670.0,50301.0,,1493092,1226484,89032,0,2022-07-25 11:55:27.097075,122153000,,,There could be a spike in the Delta Values as the last published data at the district level for Maharashtra is 2022-07-22,8034261,148062,7871507,82743403,91180755,75450215,5418002,0,0.0,0.0
2022-07-24,MH,2015,6,1916,0,1381,3632,21896,18728,14870.0,36.0,15667.0,106615.0,121388.0,242714.0,1113448.0,Gadchiroli,0.0,0.0,0.0,,9,26,133,27,14.0,0.0,21.0,,226.0,697.0,3713.0,1071795,,,,37172.0,728.0,36413.0,,816507,630300,15919,0,2022-07-25 11:55:27.097075,122153000,,,There could be a spike in the Delta Values as the last published data at the district level for Maharashtra is 2022-07-22,8034261,148062,7871507,82743403,91180755,75450215,5418002,0,0.0,0.0
