,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-07-30,MH,Ahmednagar,,,,379445,7245,371676,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
1,2022-07-30,MH,Akola,,,,66758,1474,65195,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
2,2022-07-30,MH,Amravati,,,,106585,1625,104804,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
3,2022-07-30,MH,Aurangabad,,,,178103,4288,173530,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
4,2022-07-30,MH,Beed,,,,109515,2885,106571,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
5,2022-07-30,MH,Bhandara,,,,68858,1142,67450,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
6,2022-07-30,MH,Buldhana,,,,92731,838,91757,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
7,2022-07-30,MH,Chandrapur,,,,99359,1595,97658,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
8,2022-07-30,MH,Dhule,,,,51217,670,50445,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
9,2022-07-30,MH,Gadchiroli,,,,37237,728,36459,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
10,2022-07-30,MH,Gondia,,,,45644,587,44983,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
11,2022-07-30,MH,Hingoli,,,,22378,515,21808,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
12,2022-07-30,MH,Jalgaon,,,,150038,2762,147223,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
13,2022-07-30,MH,Jalna,,,,67235,1224,65916,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
14,2022-07-30,MH,Kolhapur,,,,221070,5910,215006,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
15,2022-07-30,MH,Latur,,,,105679,2489,103016,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
16,2022-07-30,MH,Mumbai,,,,1122993,19647,1101540,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
17,2022-07-30,MH,Mumbai Suburban,,,,,,,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
18,2022-07-30,MH,Nagpur,,,,582430,9215,571578,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
19,2022-07-30,MH,Nanded,,,,102972,2704,100228,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
20,2022-07-30,MH,Nandurbar,,,,46799,963,45796,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
21,2022-07-30,MH,Nashik,,,,476085,8915,466593,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
22,2022-07-30,MH,Osmanabad,,,,75938,2139,73563,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
23,2022-07-30,MH,Other State,,,,144,113,31,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
24,2022-07-30,MH,Palghar,,,,166993,3418,163412,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
25,2022-07-30,MH,Parbhani,,,,58684,1279,57371,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
26,2022-07-30,MH,Pune,,,,1486219,20569,1461196,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
27,2022-07-30,MH,Raigad,,,,252466,4957,247258,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
28,2022-07-30,MH,Ratnagiri,,,,85088,2551,82501,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
29,2022-07-30,MH,Sangli,,,,227997,5666,222102,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
30,2022-07-30,MH,Satara,,,,279505,6737,272585,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
31,2022-07-30,MH,Sindhudurg,,,,57655,1535,56033,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
32,2022-07-30,MH,Solapur,,,,228496,5887,222302,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
33,2022-07-30,MH,Thane,,,,793744,11949,780961,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
34,2022-07-30,MH,Wardha,,,,66061,1409,64560,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
35,2022-07-30,MH,Washim,,,,46983,641,46158,,2022-07-31 11:55:28.934498,,,,8045606,148101,7884495,83056919,0,0
