,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-08-09,RJ,Ajmer,,,,50450,451,49797,807236,2022-08-16T11:38:31.548115+05:30,,,,50450,451,49797,,0,0
1,2022-08-09,RJ,Alwar,,,,85714,321,84929,1645221,2022-08-16T11:38:31.548115+05:30,,,,85714,321,84929,,0,0
2,2022-08-09,RJ,Banswara,,,,14867,106,14702,325337,2022-08-16T11:38:31.548115+05:30,,,,14867,106,14702,,0,0
3,2022-08-09,RJ,Baran,,,,15337,65,15265,246264,2022-08-16T11:38:31.548115+05:30,,,,15337,65,15265,,0,0
4,2022-08-09,RJ,Barmer,,,,21527,205,21303,408329,2022-08-16T11:38:31.548115+05:30,,,,21527,205,21303,,0,0
5,2022-08-09,RJ,Bharatpur,,,,31549,274,31184,479100,2022-08-16T11:38:31.548115+05:30,,,,31549,274,31184,,0,0
6,2022-08-09,RJ,Bhilwara,,,,38534,162,38298,512969,2022-08-16T11:38:31.548115+05:30,,,,38534,162,38298,,0,0
7,2022-08-09,RJ,Bikaner,,,,50856,594,50212,775100,2022-08-16T11:38:31.548115+05:30,,,,50856,594,50212,,0,0
8,2022-08-09,RJ,Bundi,,,,9721,55,9660,238033,2022-08-16T11:38:31.548115+05:30,,,,9721,55,9660,,0,0
9,2022-08-09,RJ,Chittorgarh,,,,29658,140,29373,458252,2022-08-16T11:38:31.548115+05:30,,,,29658,140,29373,,0,0
10,2022-08-09,RJ,Churu,,,,21022,115,20884,439778,2022-08-16T11:38:31.548115+05:30,,,,21022,115,20884,,0,0
11,2022-08-09,RJ,Dausa,,,,16225,82,15943,304043,2022-08-16T11:38:31.548115+05:30,,,,16225,82,15943,,0,0
12,2022-08-09,RJ,Dholpur,,,,14008,49,13926,292167,2022-08-16T11:38:31.548115+05:30,,,,14008,49,13926,,0,0
13,2022-08-09,RJ,Dungarpur,,,,25639,134,25418,331663,2022-08-16T11:38:31.548115+05:30,,,,25639,134,25418,,0,0
14,2022-08-09,RJ,Ganganagar,,,,28201,160,28035,423917,2022-08-16T11:38:31.548115+05:30,,,,28201,160,28035,,0,0
15,2022-08-09,RJ,Hanumangarh,,,,22557,115,22431,490622,2022-08-16T11:38:31.548115+05:30,,,,22557,115,22431,,0,0
16,2022-08-09,RJ,Jaipur,,,,280173,2116,276657,3522017,2022-08-16T11:38:31.548115+05:30,,,,280173,2116,276657,,0,0
17,2022-08-09,RJ,Jaisalmer,,,,17176,68,17032,244667,2022-08-16T11:38:31.548115+05:30,,,,17176,68,17032,,0,0
18,2022-08-09,RJ,Jalore,,,,10703,78,10571,452597,2022-08-16T11:38:31.548115+05:30,,,,10703,78,10571,,0,0
19,2022-08-09,RJ,Jhalawar,,,,17860,209,17607,425523,2022-08-16T11:38:31.548115+05:30,,,,17860,209,17607,,0,0
20,2022-08-09,RJ,Jhunjhunu,,,,19162,181,18980,496495,2022-08-16T11:38:31.548115+05:30,,,,19162,181,18980,,0,0
21,2022-08-09,RJ,Jodhpur,,,,142720,1164,141323,1448194,2022-08-16T11:38:31.548115+05:30,,,,142720,1164,141323,,0,0
22,2022-08-09,RJ,Karauli,,,,8971,85,8886,247469,2022-08-16T11:38:31.548115+05:30,,,,8971,85,8886,,0,0
23,2022-08-09,RJ,Kota,,,,70278,478,69701,1146738,2022-08-16T11:38:31.548115+05:30,,,,70278,478,69701,,0,0
24,2022-08-09,RJ,Nagaur,,,,23992,201,23688,658989,2022-08-16T11:38:31.548115+05:30,,,,23992,201,23688,,0,0
25,2022-08-09,RJ,Pali,,,,35871,299,35557,465685,2022-08-16T11:38:31.548115+05:30,,,,35871,299,35557,,0,0
26,2022-08-09,RJ,Pratapgarh,,,,11959,65,11853,280160,2022-08-16T11:38:31.548115+05:30,,,,11959,65,11853,,0,0
27,2022-08-09,RJ,Rajsamand,,,,23292,178,22976,304878,2022-08-16T11:38:31.548115+05:30,,,,23292,178,22976,,0,0
28,2022-08-09,RJ,Sawai Madhopur,,,,15844,66,15764,280646,2022-08-16T11:38:31.548115+05:30,,,,15844,66,15764,,0,0
29,2022-08-09,RJ,Sikar,,,,38206,368,37801,514271,2022-08-16T11:38:31.548115+05:30,,,,38206,368,37801,,0,0
30,2022-08-09,RJ,Sirohi,,,,17531,89,17319,326403,2022-08-16T11:38:31.548115+05:30,,,,17531,89,17319,,0,0
31,2022-08-09,RJ,Tonk,,,,13343,103,13228,335551,2022-08-16T11:38:31.548115+05:30,,,,13343,103,13228,,0,0
32,2022-08-09,RJ,Udaipur,,,,75111,775,74061,925287,2022-08-16T11:38:31.548115+05:30,,,,75111,775,74061,,0,0
33,2022-08-09,RJ,Other State,,,,0,0,0,0,2022-08-16T11:38:31.548115+05:30,,,,0,0,0,,0,0
