,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-08-14,MN,CAPF Personnel,,,,,,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
1,2022-08-14,MN,Bishnupur,,,,9954,206,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
2,2022-08-14,MN,Chandel,,,,2783,42,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
3,2022-08-14,MN,Churachandpur,,,,11226,169,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
4,2022-08-14,MN,Imphal East,,,,30979,516,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
5,2022-08-14,MN,Imphal West,,,,49718,711,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
6,2022-08-14,MN,Jiribam,,,,1118,7,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
7,2022-08-14,MN,Kakching,,,,6966,124,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
8,2022-08-14,MN,Kamjong,,,,1051,5,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
9,2022-08-14,MN,Kangpokpi,,,,3179,70,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
10,2022-08-14,MN,Noney,,,,1172,5,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
11,2022-08-14,MN,Pherzawl,,,,475,0,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
12,2022-08-14,MN,Senapati,,,,2540,13,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
13,2022-08-14,MN,Tamenglong,,,,3494,17,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
14,2022-08-14,MN,Tengnoupal,,,,1210,16,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
15,2022-08-14,MN,Thoubal,,,,10284,191,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
16,2022-08-14,MN,Ukhrul,,,,3353,51,,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
17,2022-08-14,MN,Unknown,,,,6,0,25,,2022-08-15 11:55:24.061785,,,,139508,2143,137201,1639696,0,0
