Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-08-15,UP,671,2,476,0,3359,16070,201228,3287,5967.0,11.0,5749.0,,63326.0,295415.0,3649048.0,Agra,,,,,30,137,1050,,,,,,1929.0,6503.0,45935.0,4380793,,,,,,,,3896714,3469968,217186,0,2022-08-16 11:55:31.793902,224979000,,,,2114653,23587,2085419,,176421206,166717576,15066071,0,0.0,0.0
2022-08-15,UP,671,2,476,0,3359,16070,201228,3287,5967.0,11.0,5749.0,,63326.0,295415.0,3649048.0,Aligarh,,,,,2,431,206,,,,,,2505.0,21106.0,113649.0,3673849,,,,,,,,3122716,2938683,225962,0,2022-08-16 11:55:31.793902,224979000,,,,2114653,23587,2085419,,176421206,166717576,15066071,0,0.0,0.0
2022-08-15,UP,671,2,476,0,3359,16070,201228,3287,5967.0,11.0,5749.0,,63326.0,295415.0,3649048.0,Ambedkar Nagar,,,,,8,34,1962,,,,,,239.0,1029.0,41043.0,2398709,,,,,,,,2088783,2033968,154508,0,2022-08-16 11:55:31.793902,224979000,,,,2114653,23587,2085419,,176421206,166717576,15066071,0,0.0,0.0
2022-08-15,UP,671,2,476,0,3359,16070,201228,3287,5967.0,11.0,5749.0,,63326.0,295415.0,3649048.0,Amethi,,,,,26,15,3094,,,,,,376.0,1878.0,41114.0,2549935,,,,,,,,1626970,1615199,163363,0,2022-08-16 11:55:31.793902,224979000,,,,2114653,23587,2085419,,176421206,166717576,15066071,0,0.0,0.0
2022-08-15,UP,671,2,476,0,3359,16070,201228,3287,5967.0,11.0,5749.0,,63326.0,295415.0,3649048.0,Amroha,,,,,32,6,429,,,,,,957.0,1468.0,18638.0,1838771,,,,,,,,1483274,1450833,108014,0,2022-08-16 11:55:31.793902,224979000,,,,2114653,23587,2085419,,176421206,166717576,15066071,0,0.0,0.0
2022-08-15,UP,671,2,476,0,3359,16070,201228,3287,5967.0,11.0,5749.0,,63326.0,295415.0,3649048.0,Auraiya,,,,,6,9,1001,,,,,,147.0,234.0,18174.0,1372287,,,,,,,,1156247,1128894,108753,0,2022-08-16 11:55:31.793902,224979000,,,,2114653,23587,2085419,,176421206,166717576,15066071,0,0.0,0.0
2022-08-15,UP,671,2,476,0,3359,16070,201228,3287,5967.0,11.0,5749.0,,63326.0,295415.0,3649048.0,Ayodhya,,,,,3,11,328,,,,,,934.0,3890.0,51481.0,2468371,,,,,,,,2172369,2147724,223655,0,2022-08-16 11:55:31.793902,224979000,,,,2114653,23587,2085419,,176421206,166717576,15066071,0,0.0,0.0
2022-08-15,UP,671,2,476,0,3359,16070,201228,3287,5967.0,11.0,5749.0,,63326.0,295415.0,3649048.0,Azamgarh,,,,,27,152,2711,,,,,,1277.0,1106.0,66903.0,4616509,,,,,,,,4275977,4166534,348894,0,2022-08-16 11:55:31.793902,224979000,,,,2114653,23587,2085419,,176421206,166717576,15066071,0,0.0,0.0
2022-08-15,UP,671,2,476,0,3359,16070,201228,3287,5967.0,11.0,5749.0,,63326.0,295415.0,3649048.0,Baghpat,,,,,2,17,189,,,,,,443.0,2078.0,16058.0,1302156,,,,,,,,1097176,1055026,101051,0,2022-08-16 11:55:31.793902,224979000,,,,2114653,23587,2085419,,176421206,166717576,15066071,0,0.0,0.0
2022-08-15,UP,671,2,476,0,3359,16070,201228,3287,5967.0,11.0,5749.0,,63326.0,295415.0,3649048.0,Bahraich,,,,,16,17,520,,,,,,506.0,7164.0,52528.0,2384239,,,,,,,,3008650,2975211,202763,0,2022-08-16 11:55:31.793902,224979000,,,,2114653,23587,2085419,,176421206,166717576,15066071,0,0.0,0.0
