,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-08-16,JK,Anantnag,,,,23138,219,22771,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
1,2022-08-16,JK,Bandipora,,,,14030,119,13869,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
2,2022-08-16,JK,Baramulla,,,,40820,304,39146,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
3,2022-08-16,JK,Budgam,,,,36076,237,35714,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
4,2022-08-16,JK,Doda,,,,11826,144,11577,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
5,2022-08-16,JK,Ganderbal,,,,13908,86,13797,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
6,2022-08-16,JK,Jammu,,,,80686,1233,79155,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
7,2022-08-16,JK,Kathua,,,,11766,169,11579,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
8,2022-08-16,JK,Kishtwar,,,,6162,46,6094,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
9,2022-08-16,JK,Kulgam,,,,16711,120,16472,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
10,2022-08-16,JK,Kupwara,,,,22750,174,22334,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
11,2022-08-16,JK,Mirpur,,,,,,,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
12,2022-08-16,JK,Muzaffarabad,,,,,,,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
13,2022-08-16,JK,Pulwama,,,,18694,201,18419,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
14,2022-08-16,JK,Punch,,,,7922,111,7790,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
15,2022-08-16,JK,Rajouri,,,,13087,250,12815,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
16,2022-08-16,JK,Ramban,,,,8379,69,8282,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
17,2022-08-16,JK,Reasi,,,,8735,49,8679,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
18,2022-08-16,JK,Samba,,,,9315,127,9147,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
19,2022-08-16,JK,Shopiyan,,,,6349,60,6271,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
20,2022-08-16,JK,Srinagar,,,,108693,912,106764,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
21,2022-08-16,JK,Udhampur,,,,15225,149,15061,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
22,2022-08-16,JK,Unknown,,,,0,0,0,,2022-08-17 11:55:25.814580,,,,474272,4779,465736,26315446,0,0
