,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-08-18,UT,Almora,,,,17053,200,15781,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
1,2022-08-18,UT,Bageshwar,,,,7924,61,7725,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
2,2022-08-18,UT,Chamoli,,,,15581,65,15166,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
3,2022-08-18,UT,Champawat,,,,9657,55,9383,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
4,2022-08-18,UT,Dehradun,,,,150899,3726,145537,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
5,2022-08-18,UT,Haridwar,,,,65550,1053,62748,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
6,2022-08-18,UT,Nainital,,,,52158,978,50660,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
7,2022-08-18,UT,Pauri Garhwal,,,,23290,335,21185,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
8,2022-08-18,UT,Pithoragarh,,,,12965,186,12488,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
9,2022-08-18,UT,Rudraprayag,,,,11774,108,11345,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
10,2022-08-18,UT,Tehri Garhwal,,,,18436,117,16954,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
11,2022-08-18,UT,Udham Singh Nagar,,,,47177,767,45231,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
12,2022-08-18,UT,Uttarkashi,,,,14441,80,13820,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
13,2022-08-18,UT,Unknown,,,,1,0,9374,,2022-08-19 11:55:26.929453,,,,446906,7731,437397,10089424.0,0,0
