,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-08-22,ML,East Garo Hills,,,,2080,20,2058,,2022-08-24T17:34:14.237722+05:30,,,,96325,1616,94347,,0,0
1,2022-08-22,ML,East Jaintia Hills,,,,2673,39,2626,,2022-08-24T17:34:14.237722+05:30,,,,96325,1616,94347,,0,0
2,2022-08-22,ML,East Khasi Hills,,,,47791,1078,46657,,2022-08-24T17:34:14.237722+05:30,,,,96325,1616,94347,,0,0
3,2022-08-22,ML,Eastern West Khasi Hills,,,,158,9,147,,2022-08-24T17:34:14.237722+05:30,,,,96325,1616,94347,,0,0
4,2022-08-22,ML,North Garo Hills,,,,1918,10,1905,,2022-08-24T17:34:14.237722+05:30,,,,96325,1616,94347,,0,0
5,2022-08-22,ML,Ri-Bhoi,,,,10552,101,10427,,2022-08-24T17:34:14.237722+05:30,,,,96325,1616,94347,,0,0
6,2022-08-22,ML,South Garo Hills,,,,1433,15,1415,,2022-08-24T17:34:14.237722+05:30,,,,96325,1616,94347,,0,0
7,2022-08-22,ML,South West Garo Hills,,,,2248,21,2213,,2022-08-24T17:34:14.237722+05:30,,,,96325,1616,94347,,0,0
8,2022-08-22,ML,South West Khasi Hills,,,,2716,20,2691,,2022-08-24T17:34:14.237722+05:30,,,,96325,1616,94347,,0,0
9,2022-08-22,ML,West Garo Hills,,,,11769,84,11453,,2022-08-24T17:34:14.237722+05:30,,,,96325,1616,94347,,0,0
10,2022-08-22,ML,West Jaintia Hills,,,,7317,141,7163,,2022-08-24T17:34:14.237722+05:30,,,,96325,1616,94347,,0,0
11,2022-08-22,ML,West Khasi Hills,,,,5670,78,5592,,2022-08-24T17:34:14.237722+05:30,,,,96325,1616,94347,,0,0
