Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeOtherNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeOtherNumberForState,cumulativeTestedNumberForState
2022-08-24,OR,Angul,,,,48143,419,0,47708,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Balasore,,,,49633,363,0,49222,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Bargarh,,,,35404,353,0,34952,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Bhadrak,,,,29786,176,0,29588,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Balangir,,,,29880,131,0,29622,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Boudh,,,,15077,113,0,14891,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Cuttack,,,,116963,912,0,115949,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Deogarh,,,,8784,53,0,8703,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Dhenkanal,,,,22440,265,0,22171,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Gajapati,,,,13414,83,0,13295,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Ganjam,,,,36891,513,0,36362,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Jagatsinghpur,,,,32482,344,0,32123,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Jajpur,,,,50966,201,0,50707,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Jharsuguda,,,,29019,182,0,28815,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Kalahandi,,,,29614,219,0,29273,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Kandhamal,,,,13963,95,0,13829,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Kendrapara,,,,28271,275,0,27974,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Kendujhar,,,,24538,194,0,24329,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Khordha,,,,254441,1764,0,252264,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Koraput,,,,23993,84,0,23882,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Malkangiri,,,,12888,48,0,12836,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Mayurbhanj,,,,50547,308,0,50165,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Nabarangapur,,,,27993,93,0,27848,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Nayagarh,,,,29163,227,0,28906,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Nuapada,,,,27299,91,0,27129,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Puri,,,,50625,489,0,50102,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Rayagada,,,,25244,177,0,25041,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Sambalpur,,,,44571,247,0,44227,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Subarnapur,,,,17235,62,0,17128,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
2022-08-24,OR,Sundargarh,,,,97336,685,0,96241,,2022-08-24 11:55:31.760887,2022-08-24 11:55:31.761808,,,1325766,9167,1314349,0,33049465
