,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
2,2022-08-25,HR,Gurugram,,,,297894.0,1018 ,295677 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
3,2022-08-25,HR,Faridabad,,,,135213.0,741,134087 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
4,2022-08-25,HR,Hisar,,,,63620.0,1178,62351 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
5,2022-08-25,HR,Sonipat,,,,59454.0,276,59094 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
6,2022-08-25,HR,Karnal,,,,49798.0,600,49137 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
7,2022-08-25,HR,Panchkula,,,,48056.0,420,47506 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
8,2022-08-25,HR,Ambala,,,,42648.0,542,41977 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
9,2022-08-25,HR,Panipat,,,,36684.0,676,35925 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
10,2022-08-25,HR,Sirsa,,,,34070.0,544,33501 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
11,2022-08-25,HR,Rohtak,,,,33032.0,537,32362 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
12,2022-08-25,HR,Yamunanagar,,,,32450.0,458,31932 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
13,2022-08-25,HR,Kurukshetra,,,,27733.0,404,27288 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
14,2022-08-25,HR,Bhiwani,,,,27063.0,666,26339 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
15,2022-08-25,HR,Jind,,,,25318.0,542,24724 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
16,2022-08-25,HR,Mahendragarh,,,,24980.0,165,24803,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
17,2022-08-25,HR,Rewari,,,,24911.0,224,24671 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
18,2022-08-25,HR,Jhajjar,,,,24019.0,353,23624 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
19,2022-08-25,HR,Fatehabad,,,,20259.0,499,19747 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
20,2022-08-25,HR,Kaithal,,,,15141.0,373,14695 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
21,2022-08-25,HR,Palwal,,,,13640.0,171,13431 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
22,2022-08-25,HR,Dadri,,,,7914.0,146,7758 ,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
23,2022-08-25,HR,Nuh,,,,6156.0,139,6015,,2022-08-25T23:55:38.365704+05:30,,,,1050053.0,  10672 ,1036644 ,18834186,0,0
